student_id,class_id,school_id,municipality_code,cpr_number,cpr_masked,first_name,last_name,gender,birth_date,enrollment_date,guardian_name,guardian_phone,guardian_email,address,postal_code,special_needs,is_active,created_at,updated_at
STU-000001,CLS-00001,851-SCH-001,851,180218-8575,180218-XXXX,Mathias,Eriksen,M,2018-02-18,2024-08-05,Isabella Eriksen,+45 52 58 41 67,eriksenfamilie@email.dk,Kirkevej 22,1264,Ingen,True,2026-02-27T13:34:08.131444,2026-02-27T13:34:08.131446
STU-000002,CLS-00001,851-SCH-001,851,271118-9942,271118-XXXX,Clara,Johansen,F,2018-11-27,2024-08-03,William Johansen,+45 35 19 53 47,johansenfamilie@email.dk,Kirkevej 67,7750,Ingen,True,2026-02-27T13:34:08.131466,2026-02-27T13:34:08.131467
STU-000003,CLS-00001,851-SCH-001,851,221218-2448,221218-XXXX,Sofia,Eriksen,F,2018-12-22,2024-08-05,Sarah Eriksen,+45 87 28 24 40,eriksenfamilie@email.dk,Ostrevej 105,4838,Ingen,True,2026-02-27T13:34:08.131483,2026-02-27T13:34:08.131484
STU-000004,CLS-00001,851-SCH-001,851,280918-4560,280918-XXXX,Sarah,Sorensen,F,2018-09-28,2024-08-01,Oliver Sorensen,+45 41 26 45 92,sorensenfamilie@email.dk,Vestrevej 187,1215,Ingen,True,2026-02-27T13:34:08.131499,2026-02-27T13:34:08.131500
STU-000005,CLS-00001,851-SCH-001,851,010418-5741,010418-XXXX,Sebastian,Berg,M,2018-04-01,2024-08-10,Lucas Berg,+45 84 50 36 13,bergfamilie@email.dk,Nordrevej 183,8356,Ingen,True,2026-02-27T13:34:08.131515,2026-02-27T13:34:08.131516
STU-000006,CLS-00001,851-SCH-001,851,281218-4600,281218-XXXX,Katrine,Madsen,F,2018-12-28,2024-08-08,Alma Madsen,+45 69 68 74 38,madsenfamilie@email.dk,Nordrevej 64,6245,Ingen,True,2026-02-27T13:34:08.131531,2026-02-27T13:34:08.131531
STU-000007,CLS-00001,851-SCH-001,851,260318-6405,260318-XXXX,Christian,Madsen,M,2018-03-26,2024-08-03,Mathias Madsen,+45 36 95 70 92,madsenfamilie@email.dk,Bakkevej 37,8184,Horenedsaettelse,True,2026-02-27T13:34:08.131546,2026-02-27T13:34:08.131547
STU-000008,CLS-00001,851-SCH-001,851,140518-1886,140518-XXXX,Josefine,Pedersen,F,2018-05-14,2024-08-09,Simon Pedersen,+45 27 92 35 17,pedersenfamilie@email.dk,Vestrevej 9,8552,Ingen,True,2026-02-27T13:34:08.131562,2026-02-27T13:34:08.131563
STU-000009,CLS-00001,851-SCH-001,851,050218-8575,050218-XXXX,Frederik,Andersen,M,2018-02-05,2024-08-12,Josefine Andersen,+45 66 12 89 67,andersenfamilie@email.dk,Borgvej 158,6098,Ingen,True,2026-02-27T13:34:08.131578,2026-02-27T13:34:08.131578
STU-000010,CLS-00001,851-SCH-001,851,200518-6462,200518-XXXX,Alma,Petersen,F,2018-05-20,2024-08-02,Katrine Petersen,+45 78 36 53 30,petersenfamilie@email.dk,Markvej 144,7092,ADHD,True,2026-02-27T13:34:08.131593,2026-02-27T13:34:08.131594
