teacher_id,school_id,municipality_code,cpr_number,cpr_masked,first_name,last_name,gender,birth_date,email,phone,hire_date,subjects,salary_band,is_active,created_at,updated_at
TCH-00001,851-SCH-001,851,180474-9413,180474-XXXX,Christian,Hansen,M,1974-04-18,christian.hansen@markfriskole.dk,+45 66 30 48 96,2019-04-01,Engelsk,C,False,2026-02-27T13:34:08.125735,2026-02-27T13:34:08.125737
TCH-00002,851-SCH-001,851,120493-4923,120493-XXXX,Sebastian,Jorgensen,M,1993-04-12,sebastian.jorgensen@markfriskole.dk,+45 44 13 34 20,2018-12-01,"Matematik,Historie,Tysk",B,True,2026-02-27T13:34:08.125755,2026-02-27T13:34:08.125756
TCH-00003,851-SCH-001,851,101270-1513,101270-XXXX,Carl,Moller,M,1970-12-10,carl.moller@markfriskole.dk,+45 58 27 38 54,2002-10-01,Tysk,B,True,2026-02-27T13:34:08.125772,2026-02-27T13:34:08.125773
TCH-00004,851-SCH-001,851,081283-1471,081283-XXXX,Jonas,Pedersen,M,1983-12-08,jonas.pedersen@markfriskole.dk,+45 61 70 69 50,2008-04-01,"Fysik,Idraet,Historie",B,False,2026-02-27T13:34:08.125791,2026-02-27T13:34:08.125792
TCH-00005,851-SCH-001,851,160473-1350,160473-XXXX,Anna,Sorensen,F,1973-04-16,anna.sorensen@markfriskole.dk,+45 68 95 57 11,2008-02-01,"Biologi,Samfundsfag,Musik",B,True,2026-02-27T13:34:08.125810,2026-02-27T13:34:08.125811
TCH-00006,851-SCH-001,851,260767-6318,260767-XXXX,Josefine,Madsen,F,1967-07-26,josefine.madsen@markfriskole.dk,+45 96 67 33 40,2008-03-01,"Biologi,Historie,Billedkunst",C,True,2026-02-27T13:34:08.125826,2026-02-27T13:34:08.125827
TCH-00007,851-SCH-001,851,181260-8100,181260-XXXX,Ida,Thomsen,F,1960-12-18,ida.thomsen@markfriskole.dk,+45 39 18 42 76,2014-04-01,"Billedkunst,Historie,Kemi",A,True,2026-02-27T13:34:08.125844,2026-02-27T13:34:08.125845
TCH-00008,851-SCH-001,851,200887-1468,200887-XXXX,Sarah,Lund,F,1987-08-20,sarah.lund@markfriskole.dk,+45 52 58 28 13,2019-02-01,Billedkunst,C,True,2026-02-27T13:34:08.125860,2026-02-27T13:34:08.125861
TCH-00009,851-SCH-001,851,210862-9782,210862-XXXX,Sofia,Olsen,F,1962-08-21,sofia.olsen@markfriskole.dk,+45 66 22 91 10,2000-03-01,Tysk,D,True,2026-02-27T13:34:08.125875,2026-02-27T13:34:08.125876
TCH-00010,851-SCH-001,851,191074-9597,191074-XXXX,Noah,Andersen,M,1974-10-19,noah.andersen@markfriskole.dk,+45 96 67 40 88,2023-03-01,Fysik,D,True,2026-02-27T13:34:08.125894,2026-02-27T13:34:08.125895
TCH-00011,851-SCH-001,851,080562-2588,080562-XXXX,Katrine,Petersen,F,1962-05-08,katrine.petersen@markfriskole.dk,+45 64 43 43 49,2012-10-01,"Idraet,Matematik,Samfundsfag",A,True,2026-02-27T13:34:08.125910,2026-02-27T13:34:08.125911
TCH-00012,851-SCH-001,851,200768-2061,200768-XXXX,Alexander,Pedersen,M,1968-07-20,alexander.pedersen@markfriskole.dk,+45 87 17 94 25,2016-07-01,"Billedkunst,Engelsk",A,False,2026-02-27T13:34:08.125926,2026-02-27T13:34:08.125927
TCH-00013,851-SCH-001,851,191066-6259,191066-XXXX,Kasper,Moller,M,1966-10-19,kasper.moller@markfriskole.dk,+45 52 75 37 63,2000-05-01,"Historie,Samfundsfag,Biologi",A,True,2026-02-27T13:34:08.125942,2026-02-27T13:34:08.125943
TCH-00014,851-SCH-001,851,260160-2632,260160-XXXX,Nanna,Sorensen,F,1960-01-26,nanna.sorensen@markfriskole.dk,+45 54 39 48 50,2012-09-01,"Geografi,Biologi,Historie",D,True,2026-02-27T13:34:08.125958,2026-02-27T13:34:08.125959
TCH-00015,851-SCH-001,851,161181-5899,161181-XXXX,Mikkel,Olsen,M,1981-11-16,mikkel.olsen@markfriskole.dk,+45 51 71 97 63,2012-06-01,"Kemi,Tysk,Geografi",C,True,2026-02-27T13:34:08.125974,2026-02-27T13:34:08.125975
TCH-00016,851-SCH-001,851,010764-6368,010764-XXXX,Nanna,Jakobsen,F,1964-07-01,nanna.jakobsen@markfriskole.dk,+45 55 35 50 78,2017-08-01,"Musik,Kemi",C,False,2026-02-27T13:34:08.125989,2026-02-27T13:34:08.125990
TCH-00017,851-SCH-001,851,030893-9386,030893-XXXX,Sarah,Madsen,F,1993-08-03,sarah.madsen@markfriskole.dk,+45 92 83 98 63,2018-01-01,"Matematik,Idraet",B,True,2026-02-27T13:34:08.126008,2026-02-27T13:34:08.126010
TCH-00018,851-SCH-001,851,280468-7644,280468-XXXX,Alma,Rasmussen,F,1968-04-28,alma.rasmussen@markfriskole.dk,+45 42 49 25 50,2007-01-01,"Matematik,Billedkunst",D,True,2026-02-27T13:34:08.126025,2026-02-27T13:34:08.126026
TCH-00019,851-SCH-001,851,090768-8533,090768-XXXX,Alexander,Andersen,M,1968-07-09,alexander.andersen@markfriskole.dk,+45 59 41 65 16,2014-08-01,"Biologi,Kemi,Musik",B,True,2026-02-27T13:34:08.126041,2026-02-27T13:34:08.126042
