wellness_id,student_id,school_id,municipality_code,assessment_date,academic_wellbeing_score,social_wellbeing_score,physical_wellbeing_score,overall_satisfaction,bullying_experienced,support_needed,counselor_notes,assessed_by,created_at
WEL-000001,STU-001941,851-SCH-005,851,2024-10-22,8,6,8,3,False,False,,Emilie Larsen,2026-02-27T13:34:08.174636
WEL-000002,STU-000313,851-SCH-001,851,2024-11-22,3,8,2,1,False,False,Henvisning til PPR,Emilie Jensen,2026-02-27T13:34:08.174644
WEL-000003,STU-000028,851-SCH-001,851,2024-09-14,6,4,1,1,False,False,Samtale planlagt,Line Christensen,2026-02-27T13:34:08.174653
WEL-000004,STU-000551,851-SCH-002,851,2024-10-02,1,1,6,2,False,False,Henvisning til PPR,Victoria Petersen,2026-02-27T13:34:08.174658
WEL-000005,STU-002027,851-SCH-005,851,2024-11-25,8,5,8,2,False,False,Kontakt til foraeldere,Mathilde Moller,2026-02-27T13:34:08.174663
WEL-000006,STU-000125,851-SCH-001,851,2024-09-25,5,10,2,1,False,False,,Emma Poulsen,2026-02-27T13:34:08.174667
WEL-000007,STU-000990,851-SCH-003,851,2024-11-08,4,1,5,6,False,False,Folger op,Caroline Knudsen,2026-02-27T13:34:08.174672
WEL-000008,STU-001269,851-SCH-003,851,2024-09-10,10,4,1,9,False,False,Ingen bekymringer,Freja Jakobsen,2026-02-27T13:34:08.174676
WEL-000009,STU-000441,851-SCH-002,851,2024-10-27,2,2,6,7,False,False,Ingen bekymringer,Josefine Mortensen,2026-02-27T13:34:08.174681
WEL-000010,STU-002047,851-SCH-005,851,2024-12-22,8,7,4,5,False,False,Kontakt til foraeldere,Mathilde Lund,2026-02-27T13:34:08.174686
WEL-000011,STU-000739,851-SCH-002,851,2024-09-14,2,7,6,9,False,False,,Line Poulsen,2026-02-27T13:34:08.174691
WEL-000012,STU-000491,851-SCH-002,851,2024-10-08,4,2,9,8,False,False,,Nanna Jakobsen,2026-02-27T13:34:08.174695
WEL-000013,STU-000066,851-SCH-001,851,2024-12-16,8,7,7,10,False,False,Samtale planlagt,Caroline Andersen,2026-02-27T13:34:08.174700
WEL-000014,STU-000563,851-SCH-002,851,2024-09-10,5,3,8,1,False,False,Henvisning til PPR,Ida Lund,2026-02-27T13:34:08.174705
WEL-000015,STU-000090,851-SCH-001,851,2024-09-25,8,8,4,6,False,False,Ingen bekymringer,Sarah Larsen,2026-02-27T13:34:08.174709
WEL-000016,STU-000209,851-SCH-001,851,2024-09-16,2,3,9,9,False,False,Folger op,Caroline Lund,2026-02-27T13:34:08.174714
WEL-000017,STU-000622,851-SCH-002,851,2024-12-09,3,2,8,7,False,True,Folger op,Josefine Rasmussen,2026-02-27T13:34:08.174719
WEL-000018,STU-001682,851-SCH-004,851,2024-09-01,9,6,7,6,False,False,Folger op,Emilie Sorensen,2026-02-27T13:34:08.174723
WEL-000019,STU-001778,851-SCH-005,851,2024-10-28,4,10,3,10,False,False,Ingen bekymringer,Katrine Rasmussen,2026-02-27T13:34:08.174728
WEL-000020,STU-001465,851-SCH-004,851,2024-09-16,9,8,3,1,True,False,Folger op,Alma Andersen,2026-02-27T13:34:08.174732
WEL-000021,STU-000873,851-SCH-002,851,2024-12-24,7,2,1,7,False,False,,Josefine Berg,2026-02-27T13:34:08.174737
WEL-000022,STU-000316,851-SCH-001,851,2024-11-14,8,5,1,7,False,False,Henvisning til PPR,Victoria Eriksen,2026-02-27T13:34:08.174741
WEL-000023,STU-001915,851-SCH-005,851,2024-12-21,10,7,5,2,False,False,Henvisning til PPR,Sofie Mortensen,2026-02-27T13:34:08.174745
WEL-000024,STU-000810,851-SCH-002,851,2024-09-28,5,4,10,4,False,False,Ingen bekymringer,Alma Pedersen,2026-02-27T13:34:08.174752
WEL-000025,STU-000355,851-SCH-001,851,2024-11-20,10,2,2,7,False,False,Folger op,Mathilde Madsen,2026-02-27T13:34:08.174756
WEL-000026,STU-000637,851-SCH-002,851,2024-09-12,7,7,5,1,False,False,Ingen bekymringer,Sofie Madsen,2026-02-27T13:34:08.174761
WEL-000027,STU-000387,851-SCH-001,851,2024-11-27,8,9,1,9,False,False,Henvisning til PPR,Mathilde Rasmussen,2026-02-27T13:34:08.174765
WEL-000028,STU-001944,851-SCH-005,851,2024-10-25,4,7,8,10,False,False,Henvisning til PPR,Mathilde Jorgensen,2026-02-27T13:34:08.174770
WEL-000029,STU-000426,851-SCH-002,851,2024-12-22,8,4,10,6,False,False,,Sofia Christensen,2026-02-27T13:34:08.174774
WEL-000030,STU-001508,851-SCH-004,851,2024-10-02,4,8,3,2,False,False,Kontakt til foraeldere,Emilie Eriksen,2026-02-27T13:34:08.174779
WEL-000031,STU-000843,851-SCH-002,851,2024-10-11,6,9,1,9,False,False,Henvisning til PPR,Laura Poulsen,2026-02-27T13:34:08.174783
WEL-000032,STU-002042,851-SCH-005,851,2024-11-03,9,5,10,8,False,False,Folger op,Josefine Nielsen,2026-02-27T13:34:08.174788
WEL-000033,STU-001622,851-SCH-004,851,2024-12-25,10,10,1,4,False,False,Folger op,Line Olsen,2026-02-27T13:34:08.174792
WEL-000034,STU-000287,851-SCH-001,851,2024-10-02,8,9,10,5,False,False,Folger op,Sofie Sorensen,2026-02-27T13:34:08.174800
WEL-000035,STU-001837,851-SCH-005,851,2024-10-20,3,3,6,1,False,False,Folger op,Josefine Jorgensen,2026-02-27T13:34:08.174805
WEL-000036,STU-001233,851-SCH-003,851,2024-11-10,7,2,9,10,False,False,Henvisning til PPR,Sofia Berg,2026-02-27T13:34:08.174809
WEL-000037,STU-000150,851-SCH-001,851,2024-12-27,4,4,7,2,False,False,Samtale planlagt,Sofia Knudsen,2026-02-27T13:34:08.174813
WEL-000038,STU-001516,851-SCH-004,851,2024-09-02,2,10,8,8,False,False,,Line Nielsen,2026-02-27T13:34:08.174818
WEL-000039,STU-000247,851-SCH-001,851,2024-09-16,6,2,8,6,False,False,Kontakt til foraeldere,Camilla Knudsen,2026-02-27T13:34:08.174823
WEL-000040,STU-000167,851-SCH-001,851,2024-09-05,5,1,8,4,True,False,Kontakt til foraeldere,Emilie Larsen,2026-02-27T13:34:08.174827
WEL-000041,STU-001089,851-SCH-003,851,2024-10-22,2,5,1,6,False,False,Samtale planlagt,Line Jorgensen,2026-02-27T13:34:08.174832
WEL-000042,STU-001240,851-SCH-003,851,2024-12-13,4,5,1,4,False,False,Ingen bekymringer,Sarah Mortensen,2026-02-27T13:34:08.174836
WEL-000043,STU-001610,851-SCH-004,851,2024-12-21,9,10,5,5,True,False,Ingen bekymringer,Clara Larsen,2026-02-27T13:34:08.174841
WEL-000044,STU-001503,851-SCH-004,851,2024-11-13,5,10,7,6,False,True,Folger op,Sofia Berg,2026-02-27T13:34:08.174847
WEL-000045,STU-000847,851-SCH-002,851,2024-10-14,10,6,4,5,False,False,,Nanna Moller,2026-02-27T13:34:08.174851
WEL-000046,STU-001859,851-SCH-005,851,2024-10-09,7,7,3,8,False,False,Samtale planlagt,Josefine Eriksen,2026-02-27T13:34:08.174856
WEL-000047,STU-000412,851-SCH-002,851,2024-12-23,4,7,2,4,False,False,Kontakt til foraeldere,Alma Petersen,2026-02-27T13:34:08.174860
WEL-000048,STU-001788,851-SCH-005,851,2024-11-16,9,8,1,2,False,False,Henvisning til PPR,Ida Lund,2026-02-27T13:34:08.174864
WEL-000049,STU-001206,851-SCH-003,851,2024-12-23,9,4,9,4,False,True,Kontakt til foraeldere,Maja Larsen,2026-02-27T13:34:08.174868
WEL-000050,STU-000938,851-SCH-002,851,2024-09-24,1,5,1,1,False,False,Kontakt til foraeldere,Sarah Eriksen,2026-02-27T13:34:08.174873
WEL-000051,STU-000292,851-SCH-001,851,2024-11-07,7,7,5,9,False,False,Ingen bekymringer,Laura Jakobsen,2026-02-27T13:34:08.174877
WEL-000052,STU-001076,851-SCH-003,851,2024-11-27,1,2,1,6,False,False,Samtale planlagt,Freja Madsen,2026-02-27T13:34:08.174881
WEL-000053,STU-000468,851-SCH-002,851,2024-11-18,10,7,7,2,False,False,Folger op,Laura Pedersen,2026-02-27T13:34:08.174886
WEL-000054,STU-001628,851-SCH-004,851,2024-12-21,10,8,10,8,False,False,Samtale planlagt,Emma Berg,2026-02-27T13:34:08.174890
WEL-000055,STU-000424,851-SCH-002,851,2024-10-06,8,5,2,6,False,False,Ingen bekymringer,Laura Larsen,2026-02-27T13:34:08.174896
WEL-000056,STU-001288,851-SCH-003,851,2024-10-13,9,5,1,7,False,False,,Sofia Eriksen,2026-02-27T13:34:08.174900
WEL-000057,STU-001180,851-SCH-003,851,2024-09-21,9,7,9,10,False,False,,Julie Andersen,2026-02-27T13:34:08.174904
WEL-000058,STU-000248,851-SCH-001,851,2024-11-10,7,6,6,4,False,False,Samtale planlagt,Emilie Nielsen,2026-02-27T13:34:08.174908
WEL-000059,STU-001527,851-SCH-004,851,2024-09-04,9,7,4,3,False,False,Ingen bekymringer,Laura Jakobsen,2026-02-27T13:34:08.174914
WEL-000060,STU-000948,851-SCH-003,851,2024-11-20,9,2,10,4,False,False,Samtale planlagt,Sofia Rasmussen,2026-02-27T13:34:08.174919
WEL-000061,STU-000533,851-SCH-002,851,2024-11-18,3,1,8,4,False,False,Kontakt til foraeldere,Clara Mortensen,2026-02-27T13:34:08.174925
WEL-000062,STU-001601,851-SCH-004,851,2024-11-21,6,10,9,1,False,False,Henvisning til PPR,Nanna Kristensen,2026-02-27T13:34:08.174930
WEL-000063,STU-001533,851-SCH-004,851,2024-09-08,10,10,7,5,False,False,,Anna Petersen,2026-02-27T13:34:08.174934
WEL-000064,STU-002084,851-SCH-005,851,2024-10-07,6,2,6,6,False,False,Folger op,Emma Berg,2026-02-27T13:34:08.174939
WEL-000065,STU-000801,851-SCH-002,851,2024-10-16,7,6,9,10,False,False,Folger op,Camilla Nielsen,2026-02-27T13:34:08.174943
WEL-000066,STU-001904,851-SCH-005,851,2024-10-12,6,2,8,5,False,False,Folger op,Laura Jakobsen,2026-02-27T13:34:08.174952
WEL-000067,STU-001239,851-SCH-003,851,2024-10-12,7,5,9,10,False,False,Kontakt til foraeldere,Caroline Olsen,2026-02-27T13:34:08.174957
WEL-000068,STU-000862,851-SCH-002,851,2024-11-23,4,1,10,1,False,False,Ingen bekymringer,Emma Lund,2026-02-27T13:34:08.174961
WEL-000069,STU-001845,851-SCH-005,851,2024-11-15,8,7,9,5,False,False,Kontakt til foraeldere,Camilla Pedersen,2026-02-27T13:34:08.174966
WEL-000070,STU-000995,851-SCH-003,851,2024-11-03,1,10,6,5,False,False,Kontakt til foraeldere,Alma Christensen,2026-02-27T13:34:08.174970
WEL-000071,STU-000539,851-SCH-002,851,2024-11-26,6,7,8,3,False,False,Kontakt til foraeldere,Laura Lund,2026-02-27T13:34:08.174975
WEL-000072,STU-000699,851-SCH-002,851,2024-12-21,4,1,5,10,False,False,Samtale planlagt,Maja Poulsen,2026-02-27T13:34:08.174979
