student_id,class_id,school_id,municipality_code,cpr_number,cpr_masked,first_name,last_name,gender,birth_date,enrollment_date,guardian_name,guardian_phone,guardian_email,address,postal_code,special_needs,is_active,created_at,updated_at
STU-000001,CLS-00001,751-SCH-001,751,180618-4321,180618-XXXX,Alexander,Knudsen,M,2018-06-18,2024-08-14,Alma Knudsen,+45 49 53 23 53,knudsenfamilie@email.dk,Bakkevej 198,9052,Ingen,True,2026-02-27T13:34:07.979937,2026-02-27T13:34:07.979938
STU-000002,CLS-00001,751-SCH-001,751,250818-4525,250818-XXXX,Carl,Pedersen,M,2018-08-25,2024-08-15,Isabella Pedersen,+45 59 87 69 85,pedersenfamilie@email.dk,Parkvej 118,8123,Sprogvanskeligheder,True,2026-02-27T13:34:07.979956,2026-02-27T13:34:07.979957
STU-000003,CLS-00001,751-SCH-001,751,070418-2945,070418-XXXX,Christian,Christensen,M,2018-04-07,2024-08-12,Isabella Christensen,+45 93 48 65 91,christensenfamilie@email.dk,Strandvej 45,3358,Sprogvanskeligheder,True,2026-02-27T13:34:07.979973,2026-02-27T13:34:07.979974
STU-000004,CLS-00001,751-SCH-001,751,060318-6975,060318-XXXX,Tobias,Sorensen,M,2018-03-06,2024-08-03,Emilie Sorensen,+45 43 24 25 62,sorensenfamilie@email.dk,Strandvej 116,7464,Dysleksi,True,2026-02-27T13:34:07.979992,2026-02-27T13:34:07.979993
STU-000005,CLS-00001,751-SCH-001,751,071018-3765,071018-XXXX,Sebastian,Madsen,M,2018-10-07,2024-08-04,Line Madsen,+45 91 45 90 74,madsenfamilie@email.dk,Ostrevej 18,9258,Ingen,True,2026-02-27T13:34:07.980008,2026-02-27T13:34:07.980009
STU-000006,CLS-00001,751-SCH-001,751,051018-1307,051018-XXXX,Sebastian,Jorgensen,M,2018-10-05,2024-08-13,Magnus Jorgensen,+45 67 97 63 39,jorgensenfamilie@email.dk,Strandvej 7,6046,Horenedsaettelse,True,2026-02-27T13:34:07.980024,2026-02-27T13:34:07.980025
STU-000007,CLS-00001,751-SCH-001,751,040318-9458,040318-XXXX,Marie,Sorensen,F,2018-03-04,2024-08-06,Alexander Sorensen,+45 69 54 90 36,sorensenfamilie@email.dk,Kirkevej 14,2485,Dysleksi,True,2026-02-27T13:34:07.980043,2026-02-27T13:34:07.980044
STU-000008,CLS-00001,751-SCH-001,751,230918-2054,230918-XXXX,Josefine,Nielsen,F,2018-09-23,2024-08-09,William Nielsen,+45 48 42 99 84,nielsenfamilie@email.dk,Skovvej 153,9489,Sprogvanskeligheder,True,2026-02-27T13:34:07.980059,2026-02-27T13:34:07.980060
STU-000009,CLS-00001,751-SCH-001,751,160118-4034,160118-XXXX,Line,Johansen,F,2018-01-16,2024-08-15,Julie Johansen,+45 95 24 96 21,johansenfamilie@email.dk,Strandvej 93,6979,Ingen,True,2026-02-27T13:34:07.980075,2026-02-27T13:34:07.980075
STU-000010,CLS-00001,751-SCH-001,751,081118-2628,081118-XXXX,Nanna,Larsen,F,2018-11-08,2024-08-02,Camilla Larsen,+45 23 97 34 43,larsenfamilie@email.dk,Markvej 107,1935,Ingen,True,2026-02-27T13:34:07.980090,2026-02-27T13:34:07.980091
STU-000011,CLS-00001,751-SCH-001,751,161018-2456,161018-XXXX,Maja,Jakobsen,F,2018-10-16,2024-08-06,Nikolaj Jakobsen,+45 99 19 57 52,jakobsenfamilie@email.dk,Borgvej 13,7648,Ingen,True,2026-02-27T13:34:07.980106,2026-02-27T13:34:07.980107
STU-000012,CLS-00001,751-SCH-001,751,090818-6975,090818-XXXX,Noah,Hansen,M,2018-08-09,2024-08-05,Lucas Hansen,+45 44 88 61 29,hansenfamilie@email.dk,Nordrevej 152,9482,Ingen,True,2026-02-27T13:34:07.980121,2026-02-27T13:34:07.980122
STU-000013,CLS-00001,751-SCH-001,751,050318-5632,050318-XXXX,Alma,Poulsen,F,2018-03-05,2024-08-02,Sarah Poulsen,+45 42 69 62 99,poulsenfamilie@email.dk,Nordrevej 31,4184,Ingen,True,2026-02-27T13:34:07.980137,2026-02-27T13:34:07.980138
STU-000014,CLS-00001,751-SCH-001,751,040718-4223,040718-XXXX,William,Moller,M,2018-07-04,2024-08-02,Isabella Moller,+45 48 42 91 11,mollerfamilie@email.dk,Nordrevej 104,6329,Autisme,True,2026-02-27T13:34:07.980152,2026-02-27T13:34:07.980153
STU-000015,CLS-00001,751-SCH-001,751,171218-8156,171218-XXXX,Maja,Pedersen,F,2018-12-17,2024-08-05,Ida Pedersen,+45 91 18 87 94,pedersenfamilie@email.dk,Engvej 184,9384,ADHD,True,2026-02-27T13:34:07.980168,2026-02-27T13:34:07.980169
