teacher_id,school_id,municipality_code,cpr_number,cpr_masked,first_name,last_name,gender,birth_date,email,phone,hire_date,subjects,salary_band,is_active,created_at,updated_at
TCH-00001,751-SCH-001,751,100779-7802,100779-XXXX,Isabella,Lund,F,1979-07-10,isabella.lund@skovfolkeskole.dk,+45 23 51 89 43,2004-05-01,Historie,A,True,2026-02-27T13:34:07.973234,2026-02-27T13:34:07.973235
TCH-00002,751-SCH-001,751,010382-2484,010382-XXXX,Line,Andersen,F,1982-03-01,line.andersen@skovfolkeskole.dk,+45 51 51 76 56,2013-07-01,Kemi,B,True,2026-02-27T13:34:07.973253,2026-02-27T13:34:07.973254
TCH-00003,751-SCH-001,751,180661-6267,180661-XXXX,Sebastian,Sorensen,M,1961-06-18,sebastian.sorensen@skovfolkeskole.dk,+45 52 24 61 63,2014-08-01,"Matematik,Kemi",B,True,2026-02-27T13:34:07.973278,2026-02-27T13:34:07.973279
TCH-00004,751-SCH-001,751,250764-8831,250764-XXXX,Mads,Lund,M,1964-07-25,mads.lund@skovfolkeskole.dk,+45 96 58 84 59,2010-06-01,"Tysk,Samfundsfag",D,True,2026-02-27T13:34:07.973294,2026-02-27T13:34:07.973295
TCH-00005,751-SCH-001,751,060492-3336,060492-XXXX,Sofia,Kristensen,F,1992-04-06,sofia.kristensen@skovfolkeskole.dk,+45 77 61 94 18,2017-07-01,"Kemi,Fysik,Biologi",B,True,2026-02-27T13:34:07.973312,2026-02-27T13:34:07.973312
TCH-00006,751-SCH-001,751,040679-1052,040679-XXXX,Alma,Olsen,F,1979-06-04,alma.olsen@skovfolkeskole.dk,+45 37 21 73 48,2011-10-01,"Billedkunst,Fysik",A,True,2026-02-27T13:34:07.973328,2026-02-27T13:34:07.973329
TCH-00007,751-SCH-001,751,250262-6922,250262-XXXX,Emma,Johansen,F,1962-02-25,emma.johansen@skovfolkeskole.dk,+45 82 57 42 23,2021-01-01,"Samfundsfag,Fysik,Tysk",A,True,2026-02-27T13:34:07.973344,2026-02-27T13:34:07.973345
TCH-00008,751-SCH-001,751,060368-7308,060368-XXXX,Maja,Mortensen,F,1968-03-06,maja.mortensen@skovfolkeskole.dk,+45 47 10 53 56,2014-07-01,"Samfundsfag,Idraet,Fysik",D,True,2026-02-27T13:34:07.973361,2026-02-27T13:34:07.973361
TCH-00009,751-SCH-001,751,261070-8656,261070-XXXX,Ida,Eriksen,F,1970-10-26,ida.eriksen@skovfolkeskole.dk,+45 68 61 58 81,2023-04-01,Fysik,B,True,2026-02-27T13:34:07.973377,2026-02-27T13:34:07.973378
TCH-00010,751-SCH-001,751,120678-6431,120678-XXXX,Magnus,Larsen,M,1978-06-12,magnus.larsen@skovfolkeskole.dk,+45 62 22 65 51,2010-09-01,Engelsk,A,False,2026-02-27T13:34:07.973393,2026-02-27T13:34:07.973394
TCH-00011,751-SCH-001,751,180982-9334,180982-XXXX,Emma,Rasmussen,F,1982-09-18,emma.rasmussen@skovfolkeskole.dk,+45 51 72 51 94,2017-12-01,Historie,C,True,2026-02-27T13:34:07.973409,2026-02-27T13:34:07.973410
TCH-00012,751-SCH-001,751,170591-5930,170591-XXXX,Sofia,Pedersen,F,1991-05-17,sofia.pedersen@skovfolkeskole.dk,+45 79 31 28 61,2016-05-01,"Geografi,Samfundsfag",B,False,2026-02-27T13:34:07.973425,2026-02-27T13:34:07.973426
TCH-00013,751-SCH-001,751,130287-7594,130287-XXXX,Alma,Berg,F,1987-02-13,alma.berg@skovfolkeskole.dk,+45 87 35 41 78,2012-06-01,"Fysik,Samfundsfag",B,True,2026-02-27T13:34:07.973441,2026-02-27T13:34:07.973442
TCH-00014,751-SCH-001,751,090675-7538,090675-XXXX,Ida,Christensen,F,1975-06-09,ida.christensen@skovfolkeskole.dk,+45 36 75 89 85,2022-03-01,"Dansk,Idraet,Musik",B,True,2026-02-27T13:34:07.973457,2026-02-27T13:34:07.973458
TCH-00015,751-SCH-001,751,220283-4750,220283-XXXX,Mathilde,Mortensen,F,1983-02-22,mathilde.mortensen@skovfolkeskole.dk,+45 89 85 83 20,2014-02-01,Idraet,B,True,2026-02-27T13:34:07.973472,2026-02-27T13:34:07.973473
TCH-00016,751-SCH-001,751,220767-8612,220767-XXXX,Ida,Johansen,F,1967-07-22,ida.johansen@skovfolkeskole.dk,+45 68 76 10 13,2016-04-01,Geografi,B,True,2026-02-27T13:34:07.973488,2026-02-27T13:34:07.973489
TCH-00017,751-SCH-001,751,231278-8790,231278-XXXX,Katrine,Poulsen,F,1978-12-23,katrine.poulsen@skovfolkeskole.dk,+45 71 14 91 55,2014-03-01,Engelsk,C,True,2026-02-27T13:34:07.973504,2026-02-27T13:34:07.973505
TCH-00018,751-SCH-002,751,070778-8374,070778-XXXX,Maja,Knudsen,F,1978-07-07,maja.knudsen@centrumskole.dk,+45 42 87 56 14,2010-01-01,Fysik,B,True,2026-02-27T13:34:07.973520,2026-02-27T13:34:07.973521
TCH-00019,751-SCH-002,751,230460-5822,230460-XXXX,Nanna,Sorensen,F,1960-04-23,nanna.sorensen@centrumskole.dk,+45 23 37 59 75,2013-04-01,Geografi,A,True,2026-02-27T13:34:07.973538,2026-02-27T13:34:07.973539
TCH-00020,751-SCH-002,751,241294-5495,241294-XXXX,Jonas,Hansen,M,1994-12-24,jonas.hansen@centrumskole.dk,+45 66 98 85 64,2019-04-01,Matematik,A,True,2026-02-27T13:34:07.973554,2026-02-27T13:34:07.973555
TCH-00021,751-SCH-002,751,081086-3994,081086-XXXX,Emilie,Lund,F,1986-10-08,emilie.lund@centrumskole.dk,+45 41 85 80 22,2011-05-01,"Fysik,Dansk",D,True,2026-02-27T13:34:07.973572,2026-02-27T13:34:07.973573
TCH-00022,751-SCH-002,751,070271-8047,070271-XXXX,Frederik,Mortensen,M,1971-02-07,frederik.mortensen@centrumskole.dk,+45 95 53 46 15,2022-08-01,Kemi,D,True,2026-02-27T13:34:07.973588,2026-02-27T13:34:07.973589
TCH-00023,751-SCH-002,751,031062-3952,031062-XXXX,Freja,Larsen,F,1962-10-03,freja.larsen@centrumskole.dk,+45 49 56 62 34,2006-12-01,Kemi,B,True,2026-02-27T13:34:07.973604,2026-02-27T13:34:07.973605
TCH-00024,751-SCH-002,751,250762-4204,250762-XXXX,Sofie,Andersen,F,1962-07-25,sofie.andersen@centrumskole.dk,+45 62 44 38 48,2008-05-01,Billedkunst,C,True,2026-02-27T13:34:07.973620,2026-02-27T13:34:07.973621
TCH-00025,751-SCH-002,751,050866-6535,050866-XXXX,Victor,Knudsen,M,1966-08-05,victor.knudsen@centrumskole.dk,+45 32 49 95 82,2013-07-01,"Tysk,Matematik,Dansk",D,True,2026-02-27T13:34:07.973636,2026-02-27T13:34:07.973637
TCH-00026,751-SCH-002,751,150591-7420,150591-XXXX,Nanna,Pedersen,F,1991-05-15,nanna.pedersen@centrumskole.dk,+45 78 44 76 83,2023-08-01,Fysik,C,True,2026-02-27T13:34:07.973654,2026-02-27T13:34:07.973655
TCH-00027,751-SCH-002,751,090569-4739,090569-XXXX,Mads,Thomsen,M,1969-05-09,mads.thomsen@centrumskole.dk,+45 78 54 16 22,2019-08-01,Historie,C,True,2026-02-27T13:34:07.973671,2026-02-27T13:34:07.973672
TCH-00028,751-SCH-002,751,170182-2294,170182-XXXX,Emma,Moller,F,1982-01-17,emma.moller@centrumskole.dk,+45 85 71 54 66,2021-01-01,"Kemi,Dansk",A,True,2026-02-27T13:34:07.973686,2026-02-27T13:34:07.973687
