budget_id,school_id,municipality_code,fiscal_year,category,budgeted_amount,spent_amount,currency,approved_date,approved_by,notes,created_at,updated_at
BUD-000001,751-SCH-001,751,2024,Personale,8507490.14,6989752.73,DKK,2024-01-15,Noah Petersen,,2026-02-27T13:34:08.046817,2026-02-27T13:34:08.046820
BUD-000002,751-SCH-001,751,2024,Undervisningsmaterialer,1417542.66,1230049.81,DKK,2024-01-15,Magnus Christensen,,2026-02-27T13:34:08.046823,2026-02-27T13:34:08.046824
BUD-000003,751-SCH-001,751,2024,IT_udstyr,869517.3,674679.19,DKK,2024-01-15,Lucas Sorensen,,2026-02-27T13:34:08.046826,2026-02-27T13:34:08.046827
BUD-000004,751-SCH-001,751,2024,Bygningsvedligehold,309636.05,253150.01,DKK,2024-01-15,Jakob Rasmussen,,2026-02-27T13:34:08.046829,2026-02-27T13:34:08.046830
BUD-000005,751-SCH-001,751,2024,Transport,485787.42,452873.97,DKK,2024-01-15,Carl Johansen,,2026-02-27T13:34:08.046832,2026-02-27T13:34:08.046833
BUD-000006,751-SCH-001,751,2024,Kantinedrift,375539.83,311978.49,DKK,2024-01-15,Magnus Larsen,,2026-02-27T13:34:08.046835,2026-02-27T13:34:08.046836
BUD-000007,751-SCH-001,751,2024,Specialundervisning,556992.73,480343.45,DKK,2024-01-15,Jonas Madsen,,2026-02-27T13:34:08.046838,2026-02-27T13:34:08.046839
BUD-000008,751-SCH-001,751,2024,Fritidsaktiviteter,519995.12,441955.97,DKK,2024-01-15,Simon Lund,,2026-02-27T13:34:08.046841,2026-02-27T13:34:08.046842
BUD-000009,751-SCH-001,751,2024,Administration,357409.72,305496.12,DKK,2024-01-15,Victor Johansen,,2026-02-27T13:34:08.046844,2026-02-27T13:34:08.046844
BUD-000010,751-SCH-001,751,2024,Rengoring,602586.3,515612.1,DKK,2024-01-15,Kasper Pedersen,,2026-02-27T13:34:08.046846,2026-02-27T13:34:08.046847
BUD-000011,751-SCH-002,751,2024,Personale,12482283.39,10587101.35,DKK,2024-01-15,Noah Knudsen,,2026-02-27T13:34:08.046850,2026-02-27T13:34:08.046851
BUD-000012,751-SCH-002,751,2024,Undervisningsmaterialer,2254633.33,1731942.27,DKK,2024-01-15,Noah Mortensen,,2026-02-27T13:34:08.046853,2026-02-27T13:34:08.046853
BUD-000013,751-SCH-002,751,2024,IT_udstyr,1084464.06,1009800.39,DKK,2024-01-15,Carl Jorgensen,,2026-02-27T13:34:08.046856,2026-02-27T13:34:08.046856
BUD-000014,751-SCH-002,751,2024,Bygningsvedligehold,660576.67,528279.28,DKK,2024-01-15,Mikkel Nielsen,,2026-02-27T13:34:08.046858,2026-02-27T13:34:08.046859
BUD-000015,751-SCH-002,751,2024,Transport,931784.1,766988.92,DKK,2024-01-15,Kasper Petersen,,2026-02-27T13:34:08.046861,2026-02-27T13:34:08.046862
BUD-000016,751-SCH-002,751,2024,Kantinedrift,852949.56,764720.47,DKK,2024-01-15,Nikolaj Nielsen,,2026-02-27T13:34:08.046864,2026-02-27T13:34:08.046865
BUD-000017,751-SCH-002,751,2024,Specialundervisning,790036.29,619507.02,DKK,2024-01-15,Jonas Christensen,,2026-02-27T13:34:08.046867,2026-02-27T13:34:08.046867
BUD-000018,751-SCH-002,751,2024,Fritidsaktiviteter,934088.59,772128.37,DKK,2024-01-15,Mikkel Jorgensen,,2026-02-27T13:34:08.046869,2026-02-27T13:34:08.046870
BUD-000019,751-SCH-002,751,2024,Administration,551741.42,436666.73,DKK,2024-01-15,Jakob Hansen,,2026-02-27T13:34:08.046872,2026-02-27T13:34:08.046873
BUD-000020,751-SCH-002,751,2024,Rengoring,875736.83,820004.91,DKK,2024-01-15,Oscar Pedersen,,2026-02-27T13:34:08.046875,2026-02-27T13:34:08.046875
BUD-000021,751-SCH-003,751,2024,Personale,15032505.54,12121330.18,DKK,2024-01-15,Jonas Lund,,2026-02-27T13:34:08.046878,2026-02-27T13:34:08.046878
