wellness_id,student_id,school_id,municipality_code,assessment_date,academic_wellbeing_score,social_wellbeing_score,physical_wellbeing_score,overall_satisfaction,bullying_experienced,support_needed,counselor_notes,assessed_by,created_at
WEL-000001,STU-001765,751-SCH-005,751,2024-12-04,6,5,2,10,False,False,Henvisning til PPR,Josefine Johansen,2026-02-27T13:34:08.048963
WEL-000002,STU-001234,751-SCH-004,751,2024-12-07,1,5,5,6,False,False,Samtale planlagt,Victoria Rasmussen,2026-02-27T13:34:08.048970
WEL-000003,STU-000516,751-SCH-002,751,2024-09-28,8,1,3,4,False,True,,Isabella Jakobsen,2026-02-27T13:34:08.048975
WEL-000004,STU-001928,751-SCH-005,751,2024-11-11,3,5,1,9,False,False,,Clara Hansen,2026-02-27T13:34:08.048979
WEL-000005,STU-000320,751-SCH-001,751,2024-10-22,6,8,4,7,False,False,,Anna Eriksen,2026-02-27T13:34:08.048984
WEL-000006,STU-000004,751-SCH-001,751,2024-12-28,2,2,9,9,False,False,,Freja Madsen,2026-02-27T13:34:08.048988
WEL-000007,STU-002528,751-SCH-007,751,2024-11-22,7,4,4,8,False,False,Henvisning til PPR,Josefine Johansen,2026-02-27T13:34:08.048992
WEL-000008,STU-002009,751-SCH-005,751,2024-11-17,1,6,5,6,True,False,Folger op,Ida Berg,2026-02-27T13:34:08.048996
WEL-000009,STU-001922,751-SCH-005,751,2024-12-24,8,9,7,7,False,False,Samtale planlagt,Anna Olsen,2026-02-27T13:34:08.049000
WEL-000010,STU-000075,751-SCH-001,751,2024-09-03,7,4,6,7,False,False,Folger op,Sofia Jensen,2026-02-27T13:34:08.049005
WEL-000011,STU-001740,751-SCH-005,751,2024-12-01,7,6,2,3,False,False,Folger op,Katrine Eriksen,2026-02-27T13:34:08.049009
WEL-000012,STU-000944,751-SCH-003,751,2024-12-22,7,3,10,7,False,False,Folger op,Ida Berg,2026-02-27T13:34:08.049013
WEL-000013,STU-001770,751-SCH-005,751,2024-10-09,3,9,7,6,False,False,Samtale planlagt,Anna Larsen,2026-02-27T13:34:08.049017
WEL-000014,STU-001437,751-SCH-004,751,2024-09-01,3,4,4,3,False,False,,Isabella Larsen,2026-02-27T13:34:08.049021
WEL-000015,STU-000764,751-SCH-003,751,2024-10-03,1,7,9,3,False,True,Ingen bekymringer,Line Kristensen,2026-02-27T13:34:08.049025
WEL-000016,STU-000170,751-SCH-001,751,2024-10-24,7,6,8,6,True,False,Kontakt til foraeldere,Sofie Larsen,2026-02-27T13:34:08.049029
WEL-000017,STU-002241,751-SCH-006,751,2024-09-17,6,3,2,6,False,True,Samtale planlagt,Sofie Petersen,2026-02-27T13:34:08.049033
WEL-000018,STU-000594,751-SCH-002,751,2024-09-02,7,1,10,7,False,False,,Katrine Nielsen,2026-02-27T13:34:08.049037
WEL-000019,STU-002133,751-SCH-006,751,2024-10-23,2,9,4,6,False,False,Ingen bekymringer,Julie Berg,2026-02-27T13:34:08.049042
WEL-000020,STU-002362,751-SCH-006,751,2024-09-22,8,5,2,8,False,False,Samtale planlagt,Caroline Lund,2026-02-27T13:34:08.049046
WEL-000021,STU-002409,751-SCH-006,751,2024-09-03,8,5,1,6,False,False,Kontakt til foraeldere,Line Berg,2026-02-27T13:34:08.049050
WEL-000022,STU-000296,751-SCH-001,751,2024-11-05,8,7,4,4,False,True,Folger op,Anna Petersen,2026-02-27T13:34:08.049055
WEL-000023,STU-000255,751-SCH-001,751,2024-09-17,5,10,3,1,False,False,,Isabella Johansen,2026-02-27T13:34:08.049059
WEL-000024,STU-000871,751-SCH-003,751,2024-12-05,5,7,7,9,False,False,,Alma Nielsen,2026-02-27T13:34:08.049063
WEL-000025,STU-001587,751-SCH-004,751,2024-11-18,8,2,6,9,False,False,Kontakt til foraeldere,Line Christensen,2026-02-27T13:34:08.049067
WEL-000026,STU-001415,751-SCH-004,751,2024-10-26,10,10,10,6,True,False,Folger op,Marie Petersen,2026-02-27T13:34:08.049071
WEL-000027,STU-002829,751-SCH-008,751,2024-12-02,5,10,1,9,False,False,Samtale planlagt,Marie Poulsen,2026-02-27T13:34:08.049075
WEL-000028,STU-000151,751-SCH-001,751,2024-09-07,3,8,5,1,False,False,Folger op,Katrine Poulsen,2026-02-27T13:34:08.049079
WEL-000029,STU-001868,751-SCH-005,751,2024-10-26,10,2,2,9,False,False,Ingen bekymringer,Nanna Mortensen,2026-02-27T13:34:08.049083
WEL-000030,STU-002088,751-SCH-006,751,2024-11-25,6,7,1,7,False,False,Kontakt til foraeldere,Alma Olsen,2026-02-27T13:34:08.049087
WEL-000031,STU-003226,751-SCH-008,751,2024-10-17,3,10,9,4,False,False,Henvisning til PPR,Isabella Nielsen,2026-02-27T13:34:08.049091
WEL-000032,STU-001735,751-SCH-005,751,2024-10-04,3,1,2,2,False,False,Ingen bekymringer,Sofia Kristensen,2026-02-27T13:34:08.049095
WEL-000033,STU-000904,751-SCH-003,751,2024-10-22,9,3,7,9,False,False,Ingen bekymringer,Anna Jorgensen,2026-02-27T13:34:08.049099
WEL-000034,STU-002907,751-SCH-008,751,2024-11-04,8,6,8,9,False,True,Ingen bekymringer,Julie Olsen,2026-02-27T13:34:08.049103
WEL-000035,STU-001563,751-SCH-004,751,2024-10-23,2,10,9,7,False,False,,Camilla Moller,2026-02-27T13:34:08.049107
WEL-000036,STU-001870,751-SCH-005,751,2024-10-22,1,5,6,8,False,False,,Maja Larsen,2026-02-27T13:34:08.049111
WEL-000037,STU-000175,751-SCH-001,751,2024-11-14,4,9,4,4,False,False,Folger op,Laura Thomsen,2026-02-27T13:34:08.049125
WEL-000038,STU-002677,751-SCH-007,751,2024-11-16,10,1,4,4,False,False,,Josefine Knudsen,2026-02-27T13:34:08.049129
WEL-000039,STU-002718,751-SCH-007,751,2024-10-14,4,5,3,2,False,False,,Mathilde Eriksen,2026-02-27T13:34:08.049133
WEL-000040,STU-002560,751-SCH-007,751,2024-10-23,7,6,1,7,False,False,Ingen bekymringer,Camilla Pedersen,2026-02-27T13:34:08.049137
WEL-000041,STU-000937,751-SCH-003,751,2024-09-28,9,4,8,6,False,False,,Sofie Johansen,2026-02-27T13:34:08.049141
WEL-000042,STU-002271,751-SCH-006,751,2024-11-27,3,6,2,10,False,False,Kontakt til foraeldere,Mathilde Rasmussen,2026-02-27T13:34:08.049145
WEL-000043,STU-002218,751-SCH-006,751,2024-11-09,4,9,7,4,False,False,Ingen bekymringer,Emma Jorgensen,2026-02-27T13:34:08.049150
WEL-000044,STU-003060,751-SCH-008,751,2024-12-24,2,6,4,9,False,False,Henvisning til PPR,Emilie Johansen,2026-02-27T13:34:08.049156
WEL-000045,STU-003103,751-SCH-008,751,2024-10-11,2,3,8,8,False,True,Samtale planlagt,Emilie Hansen,2026-02-27T13:34:08.049160
WEL-000046,STU-003063,751-SCH-008,751,2024-12-21,7,10,6,3,False,False,Samtale planlagt,Nanna Johansen,2026-02-27T13:34:08.049165
WEL-000047,STU-003102,751-SCH-008,751,2024-09-17,6,10,9,3,False,False,Samtale planlagt,Alma Petersen,2026-02-27T13:34:08.049169
WEL-000048,STU-001684,751-SCH-004,751,2024-11-19,8,10,9,4,False,False,Ingen bekymringer,Camilla Berg,2026-02-27T13:34:08.049173
WEL-000049,STU-001884,751-SCH-005,751,2024-10-10,2,6,6,6,False,False,Kontakt til foraeldere,Anna Moller,2026-02-27T13:34:08.049177
WEL-000050,STU-002780,751-SCH-007,751,2024-09-04,2,6,2,5,False,False,Henvisning til PPR,Camilla Hansen,2026-02-27T13:34:08.049181
WEL-000051,STU-001207,751-SCH-004,751,2024-11-26,9,1,4,5,False,True,Kontakt til foraeldere,Isabella Pedersen,2026-02-27T13:34:08.049185
WEL-000052,STU-000243,751-SCH-001,751,2024-12-07,5,5,7,3,False,False,,Victoria Hansen,2026-02-27T13:34:08.049189
WEL-000053,STU-002970,751-SCH-008,751,2024-11-04,6,4,10,10,False,False,Ingen bekymringer,Line Rasmussen,2026-02-27T13:34:08.049193
WEL-000054,STU-001391,751-SCH-004,751,2024-10-15,8,1,8,1,True,False,Kontakt til foraeldere,Maja Andersen,2026-02-27T13:34:08.049198
WEL-000055,STU-000487,751-SCH-002,751,2024-10-18,9,9,1,6,False,False,,Julie Lund,2026-02-27T13:34:08.049202
WEL-000056,STU-002459,751-SCH-007,751,2024-12-22,3,4,5,5,False,False,Kontakt til foraeldere,Clara Jorgensen,2026-02-27T13:34:08.049206
WEL-000057,STU-001592,751-SCH-004,751,2024-11-20,9,3,5,4,False,False,,Maja Pedersen,2026-02-27T13:34:08.049210
WEL-000058,STU-001479,751-SCH-004,751,2024-11-03,1,10,6,1,False,False,Kontakt til foraeldere,Maja Christensen,2026-02-27T13:34:08.049214
WEL-000059,STU-002803,751-SCH-007,751,2024-12-08,5,10,3,1,False,False,Henvisning til PPR,Josefine Madsen,2026-02-27T13:34:08.049218
WEL-000060,STU-001389,751-SCH-004,751,2024-11-15,8,3,1,9,False,False,Samtale planlagt,Line Rasmussen,2026-02-27T13:34:08.049222
WEL-000061,STU-000023,751-SCH-001,751,2024-11-07,1,10,4,3,False,True,Kontakt til foraeldere,Anna Jensen,2026-02-27T13:34:08.049226
