teacher_id,school_id,municipality_code,cpr_number,cpr_masked,first_name,last_name,gender,birth_date,email,phone,hire_date,subjects,salary_band,is_active,created_at,updated_at
TCH-00001,101-SCH-001,101,270390-3480,270390-XXXX,Julie,Madsen,F,1990-03-27,julie.madsen@kirkefolkeskole.dk,+45 63 38 57 69,2015-08-01,"Kemi,Geografi,Billedkunst",B,True,2026-02-27T13:34:07.839303,2026-02-27T13:34:07.839305
TCH-00002,101-SCH-001,101,020460-1866,020460-XXXX,Victoria,Sorensen,F,1960-04-02,victoria.sorensen@kirkefolkeskole.dk,+45 40 23 61 88,2001-05-01,Dansk,A,True,2026-02-27T13:34:07.839334,2026-02-27T13:34:07.839335
TCH-00003,101-SCH-001,101,271280-3960,271280-XXXX,Nanna,Jakobsen,F,1980-12-27,nanna.jakobsen@kirkefolkeskole.dk,+45 96 83 41 57,2005-07-01,Historie,D,True,2026-02-27T13:34:07.839359,2026-02-27T13:34:07.839360
TCH-00004,101-SCH-001,101,041071-9942,041071-XXXX,Laura,Jensen,F,1971-10-04,laura.jensen@kirkefolkeskole.dk,+45 53 37 71 94,2005-04-01,"Geografi,Dansk",C,True,2026-02-27T13:34:07.839377,2026-02-27T13:34:07.839378
TCH-00005,101-SCH-001,101,180887-3483,180887-XXXX,Lucas,Christensen,M,1987-08-18,lucas.christensen@kirkefolkeskole.dk,+45 24 68 15 74,2017-03-01,"Geografi,Engelsk,Tysk",A,True,2026-02-27T13:34:07.839396,2026-02-27T13:34:07.839397
TCH-00006,101-SCH-001,101,060386-6795,060386-XXXX,Alexander,Jorgensen,M,1986-03-06,alexander.jorgensen@kirkefolkeskole.dk,+45 61 49 84 86,2011-09-01,"Kemi,Musik",B,True,2026-02-27T13:34:07.839414,2026-02-27T13:34:07.839415
TCH-00007,101-SCH-001,101,111289-6705,111289-XXXX,Nikolaj,Rasmussen,M,1989-12-11,nikolaj.rasmussen@kirkefolkeskole.dk,+45 95 24 18 76,2023-01-01,Matematik,B,True,2026-02-27T13:34:07.839432,2026-02-27T13:34:07.839433
TCH-00008,101-SCH-001,101,111077-4697,111077-XXXX,Mikkel,Rasmussen,M,1977-10-11,mikkel.rasmussen@kirkefolkeskole.dk,+45 46 24 88 29,2010-04-01,"Kemi,Fysik",B,True,2026-02-27T13:34:07.839450,2026-02-27T13:34:07.839450
TCH-00009,101-SCH-001,101,140480-6496,140480-XXXX,Laura,Thomsen,F,1980-04-14,laura.thomsen@kirkefolkeskole.dk,+45 59 79 81 51,2005-03-01,"Geografi,Fysik,Tysk",A,True,2026-02-27T13:34:07.839470,2026-02-27T13:34:07.839470
TCH-00010,101-SCH-001,101,080885-6996,080885-XXXX,Freja,Petersen,F,1985-08-08,freja.petersen@kirkefolkeskole.dk,+45 21 57 50 89,2020-05-01,"Matematik,Billedkunst,Tysk",C,True,2026-02-27T13:34:07.839487,2026-02-27T13:34:07.839488
