budget_id,school_id,municipality_code,fiscal_year,category,budgeted_amount,spent_amount,currency,approved_date,approved_by,notes,created_at,updated_at
BUD-000001,101-SCH-001,101,2024,Personale,20827424.31,16538998.99,DKK,2024-01-15,Emil Petersen,,2026-02-27T13:34:07.955773,2026-02-27T13:34:07.955777
BUD-000002,101-SCH-001,101,2024,Undervisningsmaterialer,3558772.0,3045405.68,DKK,2024-01-15,Kasper Petersen,,2026-02-27T13:34:07.955783,2026-02-27T13:34:07.955784
BUD-000003,101-SCH-001,101,2024,IT_udstyr,1785496.43,1462396.66,DKK,2024-01-15,Oscar Olsen,,2026-02-27T13:34:07.955787,2026-02-27T13:34:07.955788
BUD-000004,101-SCH-001,101,2024,Bygningsvedligehold,1035376.79,856806.13,DKK,2024-01-15,Oliver Johansen,,2026-02-27T13:34:07.955791,2026-02-27T13:34:07.955792
BUD-000005,101-SCH-001,101,2024,Transport,832637.3,741050.54,DKK,2024-01-15,Jonas Sorensen,,2026-02-27T13:34:07.955794,2026-02-27T13:34:07.955795
BUD-000006,101-SCH-001,101,2024,Kantinedrift,957366.23,888802.49,DKK,2024-01-15,Magnus Kristensen,,2026-02-27T13:34:07.955797,2026-02-27T13:34:07.955798
BUD-000007,101-SCH-001,101,2024,Specialundervisning,1062238.09,806076.03,DKK,2024-01-15,Lucas Eriksen,,2026-02-27T13:34:07.955800,2026-02-27T13:34:07.955801
BUD-000008,101-SCH-001,101,2024,Fritidsaktiviteter,1128899.35,855145.82,DKK,2024-01-15,Carl Hansen,,2026-02-27T13:34:07.955803,2026-02-27T13:34:07.955804
BUD-000009,101-SCH-001,101,2024,Administration,924089.24,711114.49,DKK,2024-01-15,Christian Olsen,,2026-02-27T13:34:07.955806,2026-02-27T13:34:07.955807
BUD-000010,101-SCH-001,101,2024,Rengoring,749203.72,570546.68,DKK,2024-01-15,Oscar Lund,,2026-02-27T13:34:07.955809,2026-02-27T13:34:07.955810
BUD-000011,101-SCH-002,101,2024,Personale,21901373.06,18789729.92,DKK,2024-01-15,Emil Nielsen,,2026-02-27T13:34:07.955815,2026-02-27T13:34:07.955815
BUD-000012,101-SCH-002,101,2024,Undervisningsmaterialer,3541682.8,2713280.17,DKK,2024-01-15,Noah Sorensen,,2026-02-27T13:34:07.955818,2026-02-27T13:34:07.955818
BUD-000013,101-SCH-002,101,2024,IT_udstyr,2581784.21,2338522.07,DKK,2024-01-15,Nikolaj Andersen,,2026-02-27T13:34:07.955821,2026-02-27T13:34:07.955821
BUD-000014,101-SCH-002,101,2024,Bygningsvedligehold,1757144.67,1630732.12,DKK,2024-01-15,Oliver Larsen,,2026-02-27T13:34:07.955823,2026-02-27T13:34:07.955824
BUD-000015,101-SCH-002,101,2024,Transport,974851.61,813570.76,DKK,2024-01-15,Mikkel Nielsen,,2026-02-27T13:34:07.955826,2026-02-27T13:34:07.955827
BUD-000016,101-SCH-002,101,2024,Kantinedrift,1111175.21,995088.03,DKK,2024-01-15,Victor Madsen,,2026-02-27T13:34:07.955829,2026-02-27T13:34:07.955830
BUD-000017,101-SCH-002,101,2024,Specialundervisning,812552.87,701697.83,DKK,2024-01-15,Alexander Johansen,,2026-02-27T13:34:07.955832,2026-02-27T13:34:07.955832
BUD-000018,101-SCH-002,101,2024,Fritidsaktiviteter,1008258.14,878767.41,DKK,2024-01-15,Nikolaj Moller,,2026-02-27T13:34:07.955835,2026-02-27T13:34:07.955835
