wellness_id,student_id,school_id,municipality_code,assessment_date,academic_wellbeing_score,social_wellbeing_score,physical_wellbeing_score,overall_satisfaction,bullying_experienced,support_needed,counselor_notes,assessed_by,created_at
WEL-000001,STU-004397,101-SCH-011,101,2024-11-17,7,10,7,7,False,False,,Anna Johansen,2026-02-27T13:34:07.963633
WEL-000002,STU-002352,101-SCH-006,101,2024-12-28,7,9,9,5,False,False,Henvisning til PPR,Alma Thomsen,2026-02-27T13:34:07.963644
WEL-000003,STU-004692,101-SCH-011,101,2024-12-01,8,7,9,10,False,True,,Alma Pedersen,2026-02-27T13:34:07.963650
WEL-000004,STU-002295,101-SCH-006,101,2024-11-25,8,10,7,1,False,False,Ingen bekymringer,Alma Mortensen,2026-02-27T13:34:07.963655
WEL-000005,STU-000052,101-SCH-001,101,2024-10-17,8,4,10,10,False,False,Samtale planlagt,Emilie Kristensen,2026-02-27T13:34:07.963660
WEL-000006,STU-000352,101-SCH-001,101,2024-10-18,1,6,9,2,False,False,Folger op,Anna Knudsen,2026-02-27T13:34:07.963665
WEL-000007,STU-000236,101-SCH-001,101,2024-12-12,10,3,5,5,False,False,,Freja Jorgensen,2026-02-27T13:34:07.963669
WEL-000008,STU-003771,101-SCH-009,101,2024-09-07,4,10,4,10,False,False,,Sarah Christensen,2026-02-27T13:34:07.963674
WEL-000009,STU-004582,101-SCH-011,101,2024-12-06,10,9,10,6,False,False,Kontakt til foraeldere,Camilla Kristensen,2026-02-27T13:34:07.963678
WEL-000010,STU-000237,101-SCH-001,101,2024-09-11,5,8,1,10,False,False,Ingen bekymringer,Anna Petersen,2026-02-27T13:34:07.963683
WEL-000011,STU-001066,101-SCH-003,101,2024-10-15,3,8,2,9,False,False,Samtale planlagt,Sofia Larsen,2026-02-27T13:34:07.963688
WEL-000012,STU-001947,101-SCH-005,101,2024-10-13,9,8,6,8,False,False,Kontakt til foraeldere,Julie Petersen,2026-02-27T13:34:07.963692
WEL-000013,STU-004440,101-SCH-011,101,2024-10-10,2,4,3,2,False,False,,Julie Nielsen,2026-02-27T13:34:07.963697
WEL-000014,STU-002097,101-SCH-005,101,2024-10-10,10,8,6,3,False,False,Folger op,Clara Petersen,2026-02-27T13:34:07.963702
WEL-000015,STU-004134,101-SCH-010,101,2024-12-01,8,2,1,4,False,False,Samtale planlagt,Katrine Mortensen,2026-02-27T13:34:07.963706
WEL-000016,STU-003410,101-SCH-008,101,2024-12-28,10,3,3,4,False,False,,Sarah Thomsen,2026-02-27T13:34:07.963711
