teacher_id,school_id,municipality_code,cpr_number,cpr_masked,first_name,last_name,gender,birth_date,email,phone,hire_date,subjects,salary_band,is_active,created_at,updated_at
TCH-00001,561-SCH-001,561,221180-3315,221180-XXXX,Simon,Moller,M,1980-11-22,simon.moller@ostreskole.dk,+45 53 48 50 36,2005-10-01,Billedkunst,D,True,2026-02-27T13:34:08.185123,2026-02-27T13:34:08.185125
TCH-00002,561-SCH-001,561,280188-8235,280188-XXXX,Oscar,Kristensen,M,1988-01-28,oscar.kristensen@ostreskole.dk,+45 81 33 32 11,2023-02-01,"Tysk,Matematik",C,True,2026-02-27T13:34:08.185148,2026-02-27T13:34:08.185150
TCH-00003,561-SCH-001,561,080377-6658,080377-XXXX,Sofie,Jorgensen,F,1977-03-08,sofie.jorgensen@ostreskole.dk,+45 76 22 91 67,2003-09-01,Musik,A,True,2026-02-27T13:34:08.185167,2026-02-27T13:34:08.185167
TCH-00004,561-SCH-001,561,090986-6248,090986-XXXX,Marie,Jensen,F,1986-09-09,marie.jensen@ostreskole.dk,+45 92 99 12 82,2021-02-01,"Kemi,Tysk",A,True,2026-02-27T13:34:08.185184,2026-02-27T13:34:08.185185
TCH-00005,561-SCH-001,561,220676-6639,220676-XXXX,Oscar,Pedersen,M,1976-06-22,oscar.pedersen@ostreskole.dk,+45 61 35 14 57,2016-01-01,"Billedkunst,Engelsk",C,True,2026-02-27T13:34:08.185204,2026-02-27T13:34:08.185205
TCH-00006,561-SCH-001,561,170683-9843,170683-XXXX,Lucas,Mortensen,M,1983-06-17,lucas.mortensen@ostreskole.dk,+45 40 59 58 78,2008-11-01,Biologi,B,True,2026-02-27T13:34:08.185222,2026-02-27T13:34:08.185223
TCH-00007,561-SCH-001,561,121171-4877,121171-XXXX,Victor,Johansen,M,1971-11-12,victor.johansen@ostreskole.dk,+45 60 38 21 47,2021-12-01,"Engelsk,Samfundsfag",C,True,2026-02-27T13:34:08.185239,2026-02-27T13:34:08.185239
TCH-00008,561-SCH-001,561,040284-9672,040284-XXXX,Emilie,Hansen,F,1984-02-04,emilie.hansen@ostreskole.dk,+45 31 70 27 85,2020-03-01,"Samfundsfag,Kemi",B,True,2026-02-27T13:34:08.185256,2026-02-27T13:34:08.185257
TCH-00009,561-SCH-001,561,160688-9223,160688-XXXX,Mads,Madsen,M,1988-06-16,mads.madsen@ostreskole.dk,+45 51 12 59 58,2013-11-01,Historie,B,True,2026-02-27T13:34:08.185272,2026-02-27T13:34:08.185273
TCH-00010,561-SCH-001,561,210675-8726,210675-XXXX,Laura,Knudsen,F,1975-06-21,laura.knudsen@ostreskole.dk,+45 25 18 23 11,2003-07-01,"Kemi,Engelsk,Matematik",C,True,2026-02-27T13:34:08.185292,2026-02-27T13:34:08.185292
TCH-00011,561-SCH-001,561,031063-9724,031063-XXXX,Anna,Kristensen,F,1963-10-03,anna.kristensen@ostreskole.dk,+45 86 38 11 60,2002-06-01,Samfundsfag,D,True,2026-02-27T13:34:08.185307,2026-02-27T13:34:08.185308
TCH-00012,561-SCH-001,561,210991-4144,210991-XXXX,Katrine,Eriksen,F,1991-09-21,katrine.eriksen@ostreskole.dk,+45 26 21 25 22,2016-09-01,Musik,B,True,2026-02-27T13:34:08.185325,2026-02-27T13:34:08.185326
TCH-00013,561-SCH-001,561,151178-3003,151178-XXXX,Lucas,Larsen,M,1978-11-15,lucas.larsen@ostreskole.dk,+45 82 65 61 72,2004-02-01,"Musik,Dansk",A,True,2026-02-27T13:34:08.185342,2026-02-27T13:34:08.185343
TCH-00014,561-SCH-001,561,221167-9462,221167-XXXX,Laura,Pedersen,F,1967-11-22,laura.pedersen@ostreskole.dk,+45 41 40 84 15,2018-01-01,Idraet,A,True,2026-02-27T13:34:08.185359,2026-02-27T13:34:08.185360
TCH-00015,561-SCH-001,561,131170-7066,131170-XXXX,Ida,Jensen,F,1970-11-13,ida.jensen@ostreskole.dk,+45 28 60 58 77,2007-01-01,Biologi,C,True,2026-02-27T13:34:08.185375,2026-02-27T13:34:08.185376
TCH-00016,561-SCH-001,561,150765-5991,150765-XXXX,Magnus,Knudsen,M,1965-07-15,magnus.knudsen@ostreskole.dk,+45 72 93 38 34,2008-11-01,"Tysk,Billedkunst,Engelsk",B,True,2026-02-27T13:34:08.185391,2026-02-27T13:34:08.185392
TCH-00017,561-SCH-001,561,280682-4251,280682-XXXX,Nikolaj,Rasmussen,M,1982-06-28,nikolaj.rasmussen@ostreskole.dk,+45 84 43 57 15,2008-05-01,"Samfundsfag,Kemi",C,True,2026-02-27T13:34:08.185407,2026-02-27T13:34:08.185407
TCH-00018,561-SCH-001,561,270168-7386,270168-XXXX,Alma,Nielsen,F,1968-01-27,alma.nielsen@ostreskole.dk,+45 54 45 93 84,2010-09-01,Engelsk,A,False,2026-02-27T13:34:08.185422,2026-02-27T13:34:08.185423
TCH-00019,561-SCH-001,561,130794-7851,130794-XXXX,Jakob,Thomsen,M,1994-07-13,jakob.thomsen@ostreskole.dk,+45 40 60 11 38,2020-02-01,"Biologi,Billedkunst,Idraet",C,True,2026-02-27T13:34:08.185438,2026-02-27T13:34:08.185438
TCH-00020,561-SCH-001,561,091089-1400,091089-XXXX,Line,Jorgensen,F,1989-10-09,line.jorgensen@ostreskole.dk,+45 36 64 25 98,2021-08-01,"Biologi,Dansk,Geografi",D,True,2026-02-27T13:34:08.185454,2026-02-27T13:34:08.185455
TCH-00021,561-SCH-001,561,051072-2904,051072-XXXX,Sarah,Rasmussen,F,1972-10-05,sarah.rasmussen@ostreskole.dk,+45 24 38 95 80,2012-09-01,Tysk,B,True,2026-02-27T13:34:08.185469,2026-02-27T13:34:08.185470
TCH-00022,561-SCH-001,561,070777-9461,070777-XXXX,Nikolaj,Kristensen,M,1977-07-07,nikolaj.kristensen@ostreskole.dk,+45 86 83 24 71,2011-02-01,"Matematik,Geografi,Tysk",B,True,2026-02-27T13:34:08.185485,2026-02-27T13:34:08.185486
TCH-00023,561-SCH-001,561,110885-3102,110885-XXXX,Sarah,Jorgensen,F,1985-08-11,sarah.jorgensen@ostreskole.dk,+45 70 78 84 88,2013-11-01,"Engelsk,Musik",D,True,2026-02-27T13:34:08.185501,2026-02-27T13:34:08.185502
TCH-00024,561-SCH-001,561,050992-5445,050992-XXXX,Noah,Knudsen,M,1992-09-05,noah.knudsen@ostreskole.dk,+45 29 44 67 58,2017-08-01,"Fysik,Matematik,Billedkunst",B,True,2026-02-27T13:34:08.185517,2026-02-27T13:34:08.185518
TCH-00025,561-SCH-001,561,060181-6163,060181-XXXX,Nikolaj,Eriksen,M,1981-01-06,nikolaj.eriksen@ostreskole.dk,+45 32 38 44 51,2006-06-01,"Idraet,Matematik",A,True,2026-02-27T13:34:08.185533,2026-02-27T13:34:08.185534
TCH-00026,561-SCH-001,561,221078-2879,221078-XXXX,Noah,Rasmussen,M,1978-10-22,noah.rasmussen@ostreskole.dk,+45 55 72 84 33,2008-02-01,"Historie,Billedkunst,Idraet",A,True,2026-02-27T13:34:08.185549,2026-02-27T13:34:08.185550
TCH-00027,561-SCH-001,561,120366-5647,120366-XXXX,William,Petersen,M,1966-03-12,william.petersen@ostreskole.dk,+45 73 31 68 25,2007-03-01,"Geografi,Billedkunst",B,True,2026-02-27T13:34:08.185565,2026-02-27T13:34:08.185566
TCH-00028,561-SCH-001,561,200170-5930,200170-XXXX,Maja,Jorgensen,F,1970-01-20,maja.jorgensen@ostreskole.dk,+45 77 50 50 98,2011-10-01,"Samfundsfag,Historie,Musik",A,True,2026-02-27T13:34:08.185581,2026-02-27T13:34:08.185582
TCH-00029,561-SCH-001,561,260380-5432,260380-XXXX,Clara,Moller,F,1980-03-26,clara.moller@ostreskole.dk,+45 78 14 37 80,2005-11-01,"Geografi,Samfundsfag",C,False,2026-02-27T13:34:08.185596,2026-02-27T13:34:08.185597
TCH-00030,561-SCH-001,561,120868-8855,120868-XXXX,William,Jakobsen,M,1968-08-12,william.jakobsen@ostreskole.dk,+45 80 10 39 80,2022-03-01,"Dansk,Geografi,Engelsk",C,True,2026-02-27T13:34:08.185612,2026-02-27T13:34:08.185613
TCH-00031,561-SCH-001,561,220679-1497,220679-XXXX,Noah,Petersen,M,1979-06-22,noah.petersen@ostreskole.dk,+45 31 26 45 68,2011-02-01,Tysk,C,True,2026-02-27T13:34:08.185627,2026-02-27T13:34:08.185628
TCH-00032,561-SCH-001,561,230684-3826,230684-XXXX,Sofia,Olsen,F,1984-06-23,sofia.olsen@ostreskole.dk,+45 35 74 47 25,2016-08-01,"Idraet,Biologi",A,True,2026-02-27T13:34:08.185643,2026-02-27T13:34:08.185644
TCH-00033,561-SCH-001,561,210573-5344,210573-XXXX,Isabella,Petersen,F,1973-05-21,isabella.petersen@ostreskole.dk,+45 73 38 99 75,2002-10-01,Matematik,B,True,2026-02-27T13:34:08.185658,2026-02-27T13:34:08.185659
TCH-00034,561-SCH-001,561,031081-8897,031081-XXXX,Alexander,Christensen,M,1981-10-03,alexander.christensen@ostreskole.dk,+45 81 23 69 76,2021-05-01,"Dansk,Kemi,Idraet",C,True,2026-02-27T13:34:08.185674,2026-02-27T13:34:08.185675
TCH-00035,561-SCH-001,561,270985-4645,270985-XXXX,Victor,Johansen,M,1985-09-27,victor.johansen@ostreskole.dk,+45 29 98 68 80,2013-04-01,"Musik,Dansk,Tysk",B,True,2026-02-27T13:34:08.185690,2026-02-27T13:34:08.185691
TCH-00036,561-SCH-001,561,170193-5218,170193-XXXX,Isabella,Sorensen,F,1993-01-17,isabella.sorensen@ostreskole.dk,+45 70 79 74 49,2022-08-01,"Idraet,Musik",A,True,2026-02-27T13:34:08.185706,2026-02-27T13:34:08.185706
TCH-00037,561-SCH-001,561,100671-5788,100671-XXXX,Marie,Sorensen,F,1971-06-10,marie.sorensen@ostreskole.dk,+45 24 89 85 11,2016-12-01,"Fysik,Biologi,Idraet",A,True,2026-02-27T13:34:08.185721,2026-02-27T13:34:08.185722
TCH-00038,561-SCH-001,561,240378-1466,240378-XXXX,Line,Andersen,F,1978-03-24,line.andersen@ostreskole.dk,+45 42 28 47 34,2008-12-01,Engelsk,C,True,2026-02-27T13:34:08.185737,2026-02-27T13:34:08.185737
TCH-00039,561-SCH-001,561,010983-4246,010983-XXXX,Isabella,Jensen,F,1983-09-01,isabella.jensen@ostreskole.dk,+45 55 91 70 16,2019-08-01,"Tysk,Samfundsfag,Idraet",A,True,2026-02-27T13:34:08.185754,2026-02-27T13:34:08.185755
TCH-00040,561-SCH-002,561,281183-1367,281183-XXXX,Carl,Thomsen,M,1983-11-28,carl.thomsen@bakkeprivatskole.dk,+45 27 70 21 38,2009-08-01,"Engelsk,Musik,Matematik",D,False,2026-02-27T13:34:08.185771,2026-02-27T13:34:08.185772
TCH-00041,561-SCH-002,561,011280-8255,011280-XXXX,Lucas,Thomsen,M,1980-12-01,lucas.thomsen@bakkeprivatskole.dk,+45 31 70 32 60,2007-05-01,"Kemi,Samfundsfag",C,True,2026-02-27T13:34:08.185787,2026-02-27T13:34:08.185787
