budget_id,school_id,municipality_code,fiscal_year,category,budgeted_amount,spent_amount,currency,approved_date,approved_by,notes,created_at,updated_at
BUD-000001,561-SCH-001,561,2024,Personale,17628080.27,15099548.02,DKK,2024-01-15,Oscar Mortensen,,2026-02-27T13:34:08.221931,2026-02-27T13:34:08.221933
BUD-000002,561-SCH-001,561,2024,Undervisningsmaterialer,3343578.06,2868953.14,DKK,2024-01-15,Sebastian Nielsen,,2026-02-27T13:34:08.221936,2026-02-27T13:34:08.221937
BUD-000003,561-SCH-001,561,2024,IT_udstyr,1506095.34,1378558.38,DKK,2024-01-15,Kasper Olsen,,2026-02-27T13:34:08.221939,2026-02-27T13:34:08.221940
BUD-000004,561-SCH-001,561,2024,Bygningsvedligehold,1140809.71,895795.67,DKK,2024-01-15,Nikolaj Nielsen,,2026-02-27T13:34:08.221943,2026-02-27T13:34:08.221944
BUD-000005,561-SCH-001,561,2024,Transport,766820.93,587683.12,DKK,2024-01-15,Kasper Poulsen,,2026-02-27T13:34:08.221946,2026-02-27T13:34:08.221947
BUD-000006,561-SCH-001,561,2024,Kantinedrift,929472.0,853715.59,DKK,2024-01-15,Mads Jorgensen,,2026-02-27T13:34:08.221949,2026-02-27T13:34:08.221950
BUD-000007,561-SCH-001,561,2024,Specialundervisning,1140217.23,917346.81,DKK,2024-01-15,Emil Poulsen,,2026-02-27T13:34:08.221952,2026-02-27T13:34:08.221953
BUD-000008,561-SCH-001,561,2024,Fritidsaktiviteter,660652.58,507519.32,DKK,2024-01-15,Simon Petersen,,2026-02-27T13:34:08.221955,2026-02-27T13:34:08.221956
BUD-000009,561-SCH-001,561,2024,Administration,1201084.76,1084875.51,DKK,2024-01-15,Nikolaj Kristensen,,2026-02-27T13:34:08.221958,2026-02-27T13:34:08.221959
BUD-000010,561-SCH-001,561,2024,Rengoring,1270697.25,1180017.89,DKK,2024-01-15,Christian Hansen,,2026-02-27T13:34:08.221961,2026-02-27T13:34:08.221962
BUD-000011,561-SCH-002,561,2024,Personale,11287415.71,8597205.36,DKK,2024-01-15,Nikolaj Petersen,,2026-02-27T13:34:08.221966,2026-02-27T13:34:08.221966
BUD-000012,561-SCH-002,561,2024,Undervisningsmaterialer,1941661.36,1583295.26,DKK,2024-01-15,Oscar Kristensen,,2026-02-27T13:34:08.221971,2026-02-27T13:34:08.221971
BUD-000013,561-SCH-002,561,2024,IT_udstyr,1354110.06,1069149.75,DKK,2024-01-15,Sebastian Andersen,,2026-02-27T13:34:08.221974,2026-02-27T13:34:08.221974
BUD-000014,561-SCH-002,561,2024,Bygningsvedligehold,408978.25,361773.43,DKK,2024-01-15,Frederik Thomsen,,2026-02-27T13:34:08.221977,2026-02-27T13:34:08.221977
BUD-000015,561-SCH-002,561,2024,Transport,532803.14,402593.62,DKK,2024-01-15,Tobias Poulsen,,2026-02-27T13:34:08.221979,2026-02-27T13:34:08.221980
BUD-000016,561-SCH-002,561,2024,Kantinedrift,840926.03,724668.62,DKK,2024-01-15,Lucas Jensen,,2026-02-27T13:34:08.221982,2026-02-27T13:34:08.221983
BUD-000017,561-SCH-002,561,2024,Specialundervisning,474998.04,406103.13,DKK,2024-01-15,Carl Petersen,,2026-02-27T13:34:08.221985,2026-02-27T13:34:08.221986
BUD-000018,561-SCH-002,561,2024,Fritidsaktiviteter,609017.5,483369.97,DKK,2024-01-15,Christian Jorgensen,,2026-02-27T13:34:08.221988,2026-02-27T13:34:08.221989
BUD-000019,561-SCH-002,561,2024,Administration,447794.49,359770.24,DKK,2024-01-15,Oscar Hansen,,2026-02-27T13:34:08.221991,2026-02-27T13:34:08.221992
BUD-000020,561-SCH-002,561,2024,Rengoring,590987.29,523289.21,DKK,2024-01-15,Tobias Jorgensen,,2026-02-27T13:34:08.221994,2026-02-27T13:34:08.221995
BUD-000021,561-SCH-003,561,2024,Personale,13847069.04,11653902.87,DKK,2024-01-15,Victor Rasmussen,,2026-02-27T13:34:08.221998,2026-02-27T13:34:08.221998
BUD-000022,561-SCH-003,561,2024,Undervisningsmaterialer,2623338.07,2361663.86,DKK,2024-01-15,Emil Poulsen,,2026-02-27T13:34:08.222001,2026-02-27T13:34:08.222001
BUD-000023,561-SCH-003,561,2024,IT_udstyr,1651651.73,1513973.6,DKK,2024-01-15,Jonas Moller,,2026-02-27T13:34:08.222003,2026-02-27T13:34:08.222004
BUD-000024,561-SCH-003,561,2024,Bygningsvedligehold,630098.11,525871.39,DKK,2024-01-15,Oscar Johansen,,2026-02-27T13:34:08.222006,2026-02-27T13:34:08.222007
BUD-000025,561-SCH-003,561,2024,Transport,738229.03,614009.77,DKK,2024-01-15,Magnus Rasmussen,,2026-02-27T13:34:08.222009,2026-02-27T13:34:08.222010
