wellness_id,student_id,school_id,municipality_code,assessment_date,academic_wellbeing_score,social_wellbeing_score,physical_wellbeing_score,overall_satisfaction,bullying_experienced,support_needed,counselor_notes,assessed_by,created_at
WEL-000001,STU-001235,561-SCH-004,561,2024-09-16,10,1,6,4,False,True,Ingen bekymringer,Camilla Hansen,2026-02-27T13:34:08.223146
WEL-000002,STU-000472,561-SCH-002,561,2024-12-20,9,9,5,4,False,False,Folger op,Maja Nielsen,2026-02-27T13:34:08.223152
WEL-000003,STU-000585,561-SCH-002,561,2024-11-24,1,1,7,7,False,False,,Katrine Berg,2026-02-27T13:34:08.223157
WEL-000004,STU-001368,561-SCH-004,561,2024-09-08,8,7,3,6,False,False,Folger op,Katrine Moller,2026-02-27T13:34:08.223161
WEL-000005,STU-001164,561-SCH-003,561,2024-09-15,2,3,5,1,False,False,Ingen bekymringer,Camilla Rasmussen,2026-02-27T13:34:08.223166
WEL-000006,STU-000982,561-SCH-003,561,2024-09-08,6,10,10,2,False,False,Folger op,Julie Sorensen,2026-02-27T13:34:08.223170
WEL-000007,STU-001494,561-SCH-004,561,2024-10-22,9,3,10,8,False,False,Henvisning til PPR,Anna Christensen,2026-02-27T13:34:08.223175
WEL-000008,STU-001093,561-SCH-003,561,2024-09-23,8,9,6,1,False,False,Samtale planlagt,Maja Knudsen,2026-02-27T13:34:08.223179
WEL-000009,STU-000845,561-SCH-003,561,2024-10-01,2,4,1,6,False,False,Henvisning til PPR,Line Jensen,2026-02-27T13:34:08.223184
WEL-000010,STU-000217,561-SCH-001,561,2024-11-19,1,2,10,10,False,False,,Sarah Andersen,2026-02-27T13:34:08.223188
WEL-000011,STU-001084,561-SCH-003,561,2024-12-08,2,4,1,3,False,False,Samtale planlagt,Nanna Hansen,2026-02-27T13:34:08.223193
WEL-000012,STU-000607,561-SCH-002,561,2024-12-17,1,7,7,4,False,False,Henvisning til PPR,Sofie Olsen,2026-02-27T13:34:08.223197
WEL-000013,STU-000538,561-SCH-002,561,2024-12-05,10,10,1,5,False,False,Henvisning til PPR,Julie Andersen,2026-02-27T13:34:08.223201
WEL-000014,STU-000618,561-SCH-002,561,2024-09-02,3,5,4,4,False,False,Henvisning til PPR,Clara Jakobsen,2026-02-27T13:34:08.223206
WEL-000015,STU-001572,561-SCH-004,561,2024-12-25,7,9,8,5,False,False,Ingen bekymringer,Freja Christensen,2026-02-27T13:34:08.223210
WEL-000016,STU-001410,561-SCH-004,561,2024-09-26,1,10,3,2,False,False,Samtale planlagt,Sarah Lund,2026-02-27T13:34:08.223214
WEL-000017,STU-000324,561-SCH-001,561,2024-10-19,2,2,5,7,False,False,Kontakt til foraeldere,Emilie Kristensen,2026-02-27T13:34:08.223219
WEL-000018,STU-000449,561-SCH-002,561,2024-12-01,10,8,9,5,False,False,Folger op,Emma Jakobsen,2026-02-27T13:34:08.223223
WEL-000019,STU-000796,561-SCH-002,561,2024-10-01,3,2,3,10,False,False,Ingen bekymringer,Sofie Knudsen,2026-02-27T13:34:08.223228
WEL-000020,STU-001570,561-SCH-004,561,2024-11-25,2,10,9,5,False,False,Kontakt til foraeldere,Marie Lund,2026-02-27T13:34:08.223232
WEL-000021,STU-001328,561-SCH-004,561,2024-10-06,3,5,3,1,False,False,Henvisning til PPR,Maja Rasmussen,2026-02-27T13:34:08.223236
WEL-000022,STU-001097,561-SCH-003,561,2024-10-27,9,3,8,2,False,True,Folger op,Sofia Kristensen,2026-02-27T13:34:08.223241
WEL-000023,STU-000290,561-SCH-001,561,2024-09-05,4,6,10,10,False,False,Samtale planlagt,Freja Jensen,2026-02-27T13:34:08.223245
WEL-000024,STU-000224,561-SCH-001,561,2024-10-08,7,8,6,6,False,True,Folger op,Clara Olsen,2026-02-27T13:34:08.223250
WEL-000025,STU-000612,561-SCH-002,561,2024-11-03,4,7,1,7,False,False,Folger op,Clara Nielsen,2026-02-27T13:34:08.223254
WEL-000026,STU-000373,561-SCH-002,561,2024-09-20,8,3,9,7,False,False,Ingen bekymringer,Ida Jakobsen,2026-02-27T13:34:08.223258
WEL-000027,STU-000945,561-SCH-003,561,2024-10-02,9,6,5,2,False,False,Samtale planlagt,Freja Knudsen,2026-02-27T13:34:08.223263
WEL-000028,STU-000418,561-SCH-002,561,2024-12-24,8,9,8,6,False,False,Folger op,Clara Andersen,2026-02-27T13:34:08.223267
WEL-000029,STU-001055,561-SCH-003,561,2024-11-19,1,2,9,8,False,False,Ingen bekymringer,Mathilde Nielsen,2026-02-27T13:34:08.223271
WEL-000030,STU-000347,561-SCH-002,561,2024-11-02,10,3,5,4,False,True,Folger op,Josefine Rasmussen,2026-02-27T13:34:08.223276
WEL-000031,STU-001010,561-SCH-003,561,2024-11-01,8,5,1,1,False,False,,Ida Thomsen,2026-02-27T13:34:08.223280
WEL-000032,STU-001229,561-SCH-004,561,2024-12-13,3,5,6,4,False,False,Ingen bekymringer,Nanna Christensen,2026-02-27T13:34:08.223284
