student_id,class_id,school_id,municipality_code,cpr_number,cpr_masked,first_name,last_name,gender,birth_date,enrollment_date,guardian_name,guardian_phone,guardian_email,address,postal_code,special_needs,is_active,created_at,updated_at
STU-000001,CLS-00001,461-SCH-001,461,080618-8591,080618-XXXX,Carl,Jensen,M,2018-06-08,2024-08-04,Laura Jensen,+45 85 35 32 40,jensenfamilie@email.dk,Parkvej 126,4173,ADHD,True,2026-02-27T13:34:08.064096,2026-02-27T13:34:08.064097
STU-000002,CLS-00001,461-SCH-001,461,181018-6456,181018-XXXX,Caroline,Knudsen,F,2018-10-18,2024-08-04,Jakob Knudsen,+45 54 56 91 59,knudsenfamilie@email.dk,Strandvej 102,6425,Ingen,True,2026-02-27T13:34:08.064115,2026-02-27T13:34:08.064116
STU-000003,CLS-00001,461-SCH-001,461,250118-2752,250118-XXXX,Laura,Thomsen,F,2018-01-25,2024-08-09,Mathilde Thomsen,+45 87 46 30 63,thomsenfamilie@email.dk,Kirkevej 17,1884,Ingen,True,2026-02-27T13:34:08.064132,2026-02-27T13:34:08.064133
STU-000004,CLS-00001,461-SCH-001,461,260818-5542,260818-XXXX,Caroline,Eriksen,F,2018-08-26,2024-08-12,Mathias Eriksen,+45 23 45 54 26,eriksenfamilie@email.dk,Strandvej 4,1148,Ingen,True,2026-02-27T13:34:08.064149,2026-02-27T13:34:08.064149
STU-000005,CLS-00001,461-SCH-001,461,210918-2250,210918-XXXX,Isabella,Larsen,F,2018-09-21,2024-08-02,Christian Larsen,+45 93 83 67 85,larsenfamilie@email.dk,Ostrevej 146,2931,Ingen,True,2026-02-27T13:34:08.064165,2026-02-27T13:34:08.064165
STU-000006,CLS-00001,461-SCH-001,461,241118-5843,241118-XXXX,Sebastian,Olsen,M,2018-11-24,2024-08-02,Lucas Olsen,+45 95 68 23 10,olsenfamilie@email.dk,Nordrevej 38,4171,Ingen,True,2026-02-27T13:34:08.064180,2026-02-27T13:34:08.064181
STU-000007,CLS-00001,461-SCH-001,461,270318-7256,270318-XXXX,Freja,Olsen,F,2018-03-27,2024-08-13,Mads Olsen,+45 48 55 15 65,olsenfamilie@email.dk,Vestrevej 130,4551,Ingen,True,2026-02-27T13:34:08.064196,2026-02-27T13:34:08.064197
STU-000008,CLS-00001,461-SCH-001,461,190418-4409,190418-XXXX,Mathias,Moller,M,2018-04-19,2024-08-11,Clara Moller,+45 30 39 72 33,mollerfamilie@email.dk,Strandvej 173,5260,Ingen,True,2026-02-27T13:34:08.064211,2026-02-27T13:34:08.064212
STU-000009,CLS-00001,461-SCH-001,461,080218-4478,080218-XXXX,Alma,Jensen,F,2018-02-08,2024-08-13,Laura Jensen,+45 75 88 87 43,jensenfamilie@email.dk,Engvej 63,1236,Ingen,True,2026-02-27T13:34:08.064226,2026-02-27T13:34:08.064227
STU-000010,CLS-00001,461-SCH-001,461,251218-6790,251218-XXXX,Line,Andersen,F,2018-12-25,2024-08-07,Jonas Andersen,+45 77 96 98 94,andersenfamilie@email.dk,Engvej 172,9903,Dysleksi,True,2026-02-27T13:34:08.064244,2026-02-27T13:34:08.064244
