teacher_id,school_id,municipality_code,cpr_number,cpr_masked,first_name,last_name,gender,birth_date,email,phone,hire_date,subjects,salary_band,is_active,created_at,updated_at
TCH-00001,461-SCH-001,461,140475-3574,140475-XXXX,Emilie,Andersen,F,1975-04-14,emilie.andersen@vestreskole.dk,+45 68 21 79 91,2023-08-01,Fysik,C,True,2026-02-27T13:34:08.058934,2026-02-27T13:34:08.058935
TCH-00002,461-SCH-001,461,280693-2516,280693-XXXX,Anna,Petersen,F,1993-06-28,anna.petersen@vestreskole.dk,+45 53 91 47 57,2020-11-01,"Fysik,Biologi",B,True,2026-02-27T13:34:08.058954,2026-02-27T13:34:08.058955
TCH-00003,461-SCH-001,461,210475-1238,210475-XXXX,Line,Johansen,F,1975-04-21,line.johansen@vestreskole.dk,+45 28 10 59 57,2001-01-01,"Dansk,Matematik",C,True,2026-02-27T13:34:08.058970,2026-02-27T13:34:08.058971
TCH-00004,461-SCH-001,461,170674-3238,170674-XXXX,Freja,Eriksen,F,1974-06-17,freja.eriksen@vestreskole.dk,+45 77 31 37 83,2013-10-01,"Billedkunst,Kemi,Fysik",A,True,2026-02-27T13:34:08.058987,2026-02-27T13:34:08.058988
TCH-00005,461-SCH-001,461,160765-1319,160765-XXXX,Oscar,Jorgensen,M,1965-07-16,oscar.jorgensen@vestreskole.dk,+45 84 65 68 42,2016-12-01,"Tysk,Engelsk",D,True,2026-02-27T13:34:08.059004,2026-02-27T13:34:08.059005
TCH-00006,461-SCH-001,461,140484-4768,140484-XXXX,Sarah,Hansen,F,1984-04-14,sarah.hansen@vestreskole.dk,+45 28 99 18 27,2009-08-01,"Matematik,Geografi",C,True,2026-02-27T13:34:08.059020,2026-02-27T13:34:08.059021
TCH-00007,461-SCH-001,461,220282-1365,220282-XXXX,Carl,Knudsen,M,1982-02-22,carl.knudsen@vestreskole.dk,+45 39 73 73 93,2023-10-01,Fysik,D,True,2026-02-27T13:34:08.059041,2026-02-27T13:34:08.059041
TCH-00008,461-SCH-001,461,240364-9760,240364-XXXX,Line,Olsen,F,1964-03-24,line.olsen@vestreskole.dk,+45 38 53 31 19,2004-06-01,Biologi,B,True,2026-02-27T13:34:08.059056,2026-02-27T13:34:08.059057
TCH-00009,461-SCH-001,461,200295-8142,200295-XXXX,Julie,Eriksen,F,1995-02-20,julie.eriksen@vestreskole.dk,+45 22 32 57 37,2020-03-01,"Engelsk,Billedkunst",C,True,2026-02-27T13:34:08.059073,2026-02-27T13:34:08.059074
TCH-00010,461-SCH-001,461,080480-9375,080480-XXXX,William,Johansen,M,1980-04-08,william.johansen@vestreskole.dk,+45 42 15 65 32,2018-08-01,"Musik,Billedkunst",C,True,2026-02-27T13:34:08.059089,2026-02-27T13:34:08.059089
TCH-00011,461-SCH-001,461,280278-7240,280278-XXXX,Sofia,Madsen,F,1978-02-28,sofia.madsen@vestreskole.dk,+45 59 42 52 97,2018-01-01,"Dansk,Musik",A,True,2026-02-27T13:34:08.059105,2026-02-27T13:34:08.059106
TCH-00012,461-SCH-001,461,180785-9148,180785-XXXX,Josefine,Jensen,F,1985-07-18,josefine.jensen@vestreskole.dk,+45 34 94 37 33,2011-03-01,"Tysk,Geografi,Idraet",C,True,2026-02-27T13:34:08.059121,2026-02-27T13:34:08.059122
TCH-00013,461-SCH-001,461,231073-3726,231073-XXXX,Line,Jorgensen,F,1973-10-23,line.jorgensen@vestreskole.dk,+45 88 59 85 71,2013-09-01,Kemi,C,True,2026-02-27T13:34:08.059137,2026-02-27T13:34:08.059138
TCH-00014,461-SCH-001,461,070695-3735,070695-XXXX,Sebastian,Poulsen,M,1995-06-07,sebastian.poulsen@vestreskole.dk,+45 44 22 91 24,2020-07-01,"Dansk,Kemi",D,True,2026-02-27T13:34:08.059152,2026-02-27T13:34:08.059153
TCH-00015,461-SCH-001,461,081170-4750,081170-XXXX,Ida,Mortensen,F,1970-11-08,ida.mortensen@vestreskole.dk,+45 88 77 64 28,2019-02-01,"Dansk,Historie",C,True,2026-02-27T13:34:08.059168,2026-02-27T13:34:08.059169
TCH-00016,461-SCH-001,461,061293-6345,061293-XXXX,Sebastian,Lund,M,1993-12-06,sebastian.lund@vestreskole.dk,+45 64 68 54 77,2018-12-01,"Geografi,Idraet,Fysik",D,True,2026-02-27T13:34:08.059184,2026-02-27T13:34:08.059185
TCH-00017,461-SCH-001,461,130979-5485,130979-XXXX,Mikkel,Jensen,M,1979-09-13,mikkel.jensen@vestreskole.dk,+45 84 71 55 86,2004-10-01,Billedkunst,D,True,2026-02-27T13:34:08.059204,2026-02-27T13:34:08.059204
TCH-00018,461-SCH-001,461,050166-5027,050166-XXXX,Victor,Johansen,M,1966-01-05,victor.johansen@vestreskole.dk,+45 20 52 19 14,2020-08-01,Kemi,D,True,2026-02-27T13:34:08.059220,2026-02-27T13:34:08.059221
TCH-00019,461-SCH-001,461,151286-5187,151286-XXXX,Kasper,Hansen,M,1986-12-15,kasper.hansen@vestreskole.dk,+45 67 41 24 97,2011-07-01,"Kemi,Biologi",B,True,2026-02-27T13:34:08.059236,2026-02-27T13:34:08.059237
TCH-00020,461-SCH-001,461,150992-2805,150992-XXXX,Carl,Andersen,M,1992-09-15,carl.andersen@vestreskole.dk,+45 93 31 19 85,2017-07-01,"Billedkunst,Engelsk,Tysk",C,True,2026-02-27T13:34:08.059252,2026-02-27T13:34:08.059253
TCH-00021,461-SCH-001,461,080464-5816,080464-XXXX,Victoria,Jensen,F,1964-04-08,victoria.jensen@vestreskole.dk,+45 92 21 43 60,2008-09-01,Historie,C,True,2026-02-27T13:34:08.059267,2026-02-27T13:34:08.059268
TCH-00022,461-SCH-001,461,160263-5788,160263-XXXX,Line,Sorensen,F,1963-02-16,line.sorensen@vestreskole.dk,+45 51 47 97 92,2011-03-01,"Engelsk,Historie",A,True,2026-02-27T13:34:08.059284,2026-02-27T13:34:08.059284
TCH-00023,461-SCH-001,461,250767-1349,250767-XXXX,Mikkel,Sorensen,M,1967-07-25,mikkel.sorensen@vestreskole.dk,+45 53 93 64 24,2002-08-01,Historie,B,True,2026-02-27T13:34:08.059299,2026-02-27T13:34:08.059300
TCH-00024,461-SCH-001,461,040189-2631,040189-XXXX,Tobias,Jensen,M,1989-01-04,tobias.jensen@vestreskole.dk,+45 44 29 32 16,2017-08-01,"Kemi,Musik,Fysik",D,True,2026-02-27T13:34:08.059315,2026-02-27T13:34:08.059316
TCH-00025,461-SCH-001,461,191168-5640,191168-XXXX,Josefine,Jakobsen,F,1968-11-19,josefine.jakobsen@vestreskole.dk,+45 65 50 67 69,2008-01-01,"Billedkunst,Dansk",D,True,2026-02-27T13:34:08.059330,2026-02-27T13:34:08.059331
TCH-00026,461-SCH-001,461,090763-2253,090763-XXXX,William,Eriksen,M,1963-07-09,william.eriksen@vestreskole.dk,+45 94 16 61 27,2002-02-01,"Fysik,Idraet",D,True,2026-02-27T13:34:08.059346,2026-02-27T13:34:08.059347
TCH-00027,461-SCH-001,461,170171-3691,170171-XXXX,Nikolaj,Olsen,M,1971-01-17,nikolaj.olsen@vestreskole.dk,+45 73 24 69 54,2010-01-01,"Samfundsfag,Musik,Geografi",C,True,2026-02-27T13:34:08.059362,2026-02-27T13:34:08.059363
TCH-00028,461-SCH-001,461,070978-2210,070978-XXXX,Sarah,Berg,F,1978-09-07,sarah.berg@vestreskole.dk,+45 88 52 99 75,2003-06-01,"Engelsk,Geografi,Dansk",C,True,2026-02-27T13:34:08.059384,2026-02-27T13:34:08.059385
