budget_id,school_id,municipality_code,fiscal_year,category,budgeted_amount,spent_amount,currency,approved_date,approved_by,notes,created_at,updated_at
BUD-000001,461-SCH-001,461,2024,Personale,28256671.6,23712921.93,DKK,2024-01-15,Mikkel Eriksen,,2026-02-27T13:34:08.113711,2026-02-27T13:34:08.113714
BUD-000002,461-SCH-001,461,2024,Undervisningsmaterialer,4397670.49,3885620.85,DKK,2024-01-15,Oscar Knudsen,,2026-02-27T13:34:08.113718,2026-02-27T13:34:08.113718
BUD-000003,461-SCH-001,461,2024,IT_udstyr,2832372.82,2234065.7,DKK,2024-01-15,Kasper Petersen,,2026-02-27T13:34:08.113721,2026-02-27T13:34:08.113722
BUD-000004,461-SCH-001,461,2024,Bygningsvedligehold,1632694.44,1515319.79,DKK,2024-01-15,William Olsen,,2026-02-27T13:34:08.113724,2026-02-27T13:34:08.113725
BUD-000005,461-SCH-001,461,2024,Transport,1976894.66,1648023.96,DKK,2024-01-15,Emil Madsen,,2026-02-27T13:34:08.113727,2026-02-27T13:34:08.113728
BUD-000006,461-SCH-001,461,2024,Kantinedrift,1085633.99,944631.33,DKK,2024-01-15,Christian Olsen,,2026-02-27T13:34:08.113730,2026-02-27T13:34:08.113731
BUD-000007,461-SCH-001,461,2024,Specialundervisning,1925507.6,1766078.0,DKK,2024-01-15,Oscar Olsen,,2026-02-27T13:34:08.113736,2026-02-27T13:34:08.113737
BUD-000008,461-SCH-001,461,2024,Fritidsaktiviteter,1326523.55,1112606.99,DKK,2024-01-15,Mathias Madsen,,2026-02-27T13:34:08.113739,2026-02-27T13:34:08.113740
BUD-000009,461-SCH-001,461,2024,Administration,2157869.82,1977031.7,DKK,2024-01-15,Nikolaj Madsen,,2026-02-27T13:34:08.113743,2026-02-27T13:34:08.113744
BUD-000010,461-SCH-001,461,2024,Rengoring,1998771.49,1622219.06,DKK,2024-01-15,Christian Hansen,,2026-02-27T13:34:08.113747,2026-02-27T13:34:08.113748
BUD-000011,461-SCH-002,461,2024,Personale,26823386.71,21529159.48,DKK,2024-01-15,Mikkel Jensen,,2026-02-27T13:34:08.113752,2026-02-27T13:34:08.113753
BUD-000012,461-SCH-002,461,2024,Undervisningsmaterialer,5129059.15,3916624.73,DKK,2024-01-15,Jakob Mortensen,,2026-02-27T13:34:08.113756,2026-02-27T13:34:08.113757
BUD-000013,461-SCH-002,461,2024,IT_udstyr,3567251.6,2986888.39,DKK,2024-01-15,Lucas Hansen,,2026-02-27T13:34:08.113759,2026-02-27T13:34:08.113760
BUD-000014,461-SCH-002,461,2024,Bygningsvedligehold,1427519.23,1239841.18,DKK,2024-01-15,Kasper Olsen,,2026-02-27T13:34:08.113762,2026-02-27T13:34:08.113763
BUD-000015,461-SCH-002,461,2024,Transport,1417226.9,1139803.96,DKK,2024-01-15,Magnus Mortensen,,2026-02-27T13:34:08.113765,2026-02-27T13:34:08.113766
BUD-000016,461-SCH-002,461,2024,Kantinedrift,950692.58,839609.32,DKK,2024-01-15,Tobias Berg,,2026-02-27T13:34:08.113768,2026-02-27T13:34:08.113769
BUD-000017,461-SCH-002,461,2024,Specialundervisning,1928569.68,1575902.07,DKK,2024-01-15,Mikkel Poulsen,,2026-02-27T13:34:08.113771,2026-02-27T13:34:08.113772
BUD-000018,461-SCH-002,461,2024,Fritidsaktiviteter,1020881.4,853027.62,DKK,2024-01-15,Oscar Eriksen,,2026-02-27T13:34:08.113774,2026-02-27T13:34:08.113774
BUD-000019,461-SCH-002,461,2024,Administration,1759764.98,1487082.76,DKK,2024-01-15,Sebastian Andersen,,2026-02-27T13:34:08.113776,2026-02-27T13:34:08.113777
BUD-000020,461-SCH-002,461,2024,Rengoring,1291927.11,971611.39,DKK,2024-01-15,Christian Knudsen,,2026-02-27T13:34:08.113779,2026-02-27T13:34:08.113780
BUD-000021,461-SCH-003,461,2024,Personale,23349197.52,19028012.72,DKK,2024-01-15,Jakob Hansen,,2026-02-27T13:34:08.113782,2026-02-27T13:34:08.113783
BUD-000022,461-SCH-003,461,2024,Undervisningsmaterialer,3317263.4,2591126.27,DKK,2024-01-15,William Petersen,,2026-02-27T13:34:08.113785,2026-02-27T13:34:08.113786
BUD-000023,461-SCH-003,461,2024,IT_udstyr,3004625.11,2790058.3,DKK,2024-01-15,Jonas Kristensen,,2026-02-27T13:34:08.113788,2026-02-27T13:34:08.113789
BUD-000024,461-SCH-003,461,2024,Bygningsvedligehold,1240629.46,1146940.05,DKK,2024-01-15,Noah Kristensen,,2026-02-27T13:34:08.113791,2026-02-27T13:34:08.113792
BUD-000025,461-SCH-003,461,2024,Transport,991435.8,913740.14,DKK,2024-01-15,Noah Larsen,,2026-02-27T13:34:08.113794,2026-02-27T13:34:08.113794
BUD-000026,461-SCH-003,461,2024,Kantinedrift,1220846.87,1154306.4,DKK,2024-01-15,Simon Madsen,,2026-02-27T13:34:08.113796,2026-02-27T13:34:08.113797
BUD-000027,461-SCH-003,461,2024,Specialundervisning,1713695.35,1529107.12,DKK,2024-01-15,Oscar Knudsen,,2026-02-27T13:34:08.113800,2026-02-27T13:34:08.113801
BUD-000028,461-SCH-003,461,2024,Fritidsaktiviteter,1607758.07,1220301.16,DKK,2024-01-15,Kasper Jorgensen,,2026-02-27T13:34:08.113803,2026-02-27T13:34:08.113804
BUD-000029,461-SCH-003,461,2024,Administration,1461418.09,1170556.5,DKK,2024-01-15,Oliver Jakobsen,,2026-02-27T13:34:08.113806,2026-02-27T13:34:08.113807
BUD-000030,461-SCH-003,461,2024,Rengoring,1115956.63,1032649.17,DKK,2024-01-15,Carl Christensen,,2026-02-27T13:34:08.113810,2026-02-27T13:34:08.113811
BUD-000031,461-SCH-004,461,2024,Personale,15349434.55,12443188.23,DKK,2024-01-15,Lucas Pedersen,,2026-02-27T13:34:08.113814,2026-02-27T13:34:08.113815
BUD-000032,461-SCH-004,461,2024,Undervisningsmaterialer,2998134.99,2826791.19,DKK,2024-01-15,Tobias Eriksen,,2026-02-27T13:34:08.113817,2026-02-27T13:34:08.113818
BUD-000033,461-SCH-004,461,2024,IT_udstyr,1993801.43,1783374.81,DKK,2024-01-15,Carl Poulsen,,2026-02-27T13:34:08.113821,2026-02-27T13:34:08.113821
BUD-000034,461-SCH-004,461,2024,Bygningsvedligehold,974724.99,859857.16,DKK,2024-01-15,Magnus Andersen,,2026-02-27T13:34:08.113823,2026-02-27T13:34:08.113824
BUD-000035,461-SCH-004,461,2024,Transport,554498.8,454196.12,DKK,2024-01-15,Magnus Thomsen,,2026-02-27T13:34:08.113826,2026-02-27T13:34:08.113827
BUD-000036,461-SCH-004,461,2024,Kantinedrift,1171002.49,1110119.99,DKK,2024-01-15,Kasper Jensen,,2026-02-27T13:34:08.113829,2026-02-27T13:34:08.113830
BUD-000037,461-SCH-004,461,2024,Specialundervisning,763135.07,615821.29,DKK,2024-01-15,Mathias Eriksen,,2026-02-27T13:34:08.113832,2026-02-27T13:34:08.113832
BUD-000038,461-SCH-004,461,2024,Fritidsaktiviteter,604158.42,561002.97,DKK,2024-01-15,Oscar Jensen,,2026-02-27T13:34:08.113834,2026-02-27T13:34:08.113835
BUD-000039,461-SCH-004,461,2024,Administration,1083945.4,965936.25,DKK,2024-01-15,Jonas Sorensen,,2026-02-27T13:34:08.113837,2026-02-27T13:34:08.113838
BUD-000040,461-SCH-004,461,2024,Rengoring,931586.28,776247.22,DKK,2024-01-15,William Berg,,2026-02-27T13:34:08.113840,2026-02-27T13:34:08.113841
BUD-000041,461-SCH-005,461,2024,Personale,32523530.19,29310099.56,DKK,2024-01-15,Rasmus Berg,,2026-02-27T13:34:08.113843,2026-02-27T13:34:08.113844
BUD-000042,461-SCH-005,461,2024,Undervisningsmaterialer,5655113.89,4753560.22,DKK,2024-01-15,Nikolaj Jakobsen,,2026-02-27T13:34:08.113846,2026-02-27T13:34:08.113847
BUD-000043,461-SCH-005,461,2024,IT_udstyr,3895625.58,3449951.25,DKK,2024-01-15,Alexander Hansen,,2026-02-27T13:34:08.113849,2026-02-27T13:34:08.113850
BUD-000044,461-SCH-005,461,2024,Bygningsvedligehold,2544247.94,2406041.98,DKK,2024-01-15,Christian Jakobsen,,2026-02-27T13:34:08.113852,2026-02-27T13:34:08.113853
BUD-000045,461-SCH-005,461,2024,Transport,2517722.91,2234229.12,DKK,2024-01-15,Mathias Poulsen,,2026-02-27T13:34:08.113855,2026-02-27T13:34:08.113855
BUD-000046,461-SCH-005,461,2024,Kantinedrift,2387215.97,2260522.57,DKK,2024-01-15,Simon Petersen,,2026-02-27T13:34:08.113857,2026-02-27T13:34:08.113858
BUD-000047,461-SCH-005,461,2024,Specialundervisning,1386812.78,1107706.17,DKK,2024-01-15,Victor Moller,,2026-02-27T13:34:08.113860,2026-02-27T13:34:08.113861
BUD-000048,461-SCH-005,461,2024,Fritidsaktiviteter,1967071.13,1797486.52,DKK,2024-01-15,Simon Nielsen,,2026-02-27T13:34:08.113863,2026-02-27T13:34:08.113863
