wellness_id,student_id,school_id,municipality_code,assessment_date,academic_wellbeing_score,social_wellbeing_score,physical_wellbeing_score,overall_satisfaction,bullying_experienced,support_needed,counselor_notes,assessed_by,created_at
WEL-000001,STU-002075,461-SCH-006,461,2024-11-06,9,5,3,6,False,False,Samtale planlagt,Anna Hansen,2026-02-27T13:34:08.115166
WEL-000002,STU-002011,461-SCH-006,461,2024-10-20,7,6,10,4,True,False,,Alma Rasmussen,2026-02-27T13:34:08.115173
WEL-000003,STU-000088,461-SCH-001,461,2024-10-13,10,10,2,6,False,False,Samtale planlagt,Isabella Sorensen,2026-02-27T13:34:08.115177
WEL-000004,STU-000506,461-SCH-002,461,2024-10-18,7,5,4,10,False,False,Samtale planlagt,Sofia Sorensen,2026-02-27T13:34:08.115182
WEL-000005,STU-002044,461-SCH-006,461,2024-09-02,8,1,10,9,False,False,Ingen bekymringer,Victoria Johansen,2026-02-27T13:34:08.115186
WEL-000006,STU-001919,461-SCH-005,461,2024-10-15,8,10,8,9,False,False,,Caroline Jakobsen,2026-02-27T13:34:08.115191
WEL-000007,STU-001446,461-SCH-004,461,2024-11-21,9,5,8,10,True,True,,Camilla Poulsen,2026-02-27T13:34:08.115195
WEL-000008,STU-000174,461-SCH-001,461,2024-09-28,3,4,3,7,False,False,Henvisning til PPR,Sofie Andersen,2026-02-27T13:34:08.115200
WEL-000009,STU-000756,461-SCH-002,461,2024-09-22,10,2,10,1,False,False,Kontakt til foraeldere,Nanna Petersen,2026-02-27T13:34:08.115204
WEL-000010,STU-002029,461-SCH-006,461,2024-11-24,2,10,5,3,False,False,Folger op,Nanna Pedersen,2026-02-27T13:34:08.115208
WEL-000011,STU-002290,461-SCH-006,461,2024-10-16,3,7,5,7,False,False,Samtale planlagt,Sofie Eriksen,2026-02-27T13:34:08.115212
WEL-000012,STU-001483,461-SCH-004,461,2024-10-09,8,4,8,8,False,False,Henvisning til PPR,Victoria Berg,2026-02-27T13:34:08.115217
WEL-000013,STU-002340,461-SCH-006,461,2024-11-03,6,6,9,3,False,False,Ingen bekymringer,Marie Nielsen,2026-02-27T13:34:08.115221
