student_id,class_id,school_id,municipality_code,cpr_number,cpr_masked,first_name,last_name,gender,birth_date,enrollment_date,guardian_name,guardian_phone,guardian_email,address,postal_code,special_needs,is_active,created_at,updated_at
STU-851-00001,CLS-00196,851-SCH-004,851,180319-4320,180319-XXXX,Laura,Olsen,F,2019-03-18,2026-03-09,Emil Olsen,+45 72 37 53 35,olsenfamilie@email.dk,Kirkevej 182,6792,Ingen,true,2026-03-09 08:00:00,2026-03-09 08:00:00
STU-851-00002,CLS-00064,851-SCH-004,851,290119-2035,290119-XXXX,Oscar,Andersen,M,2019-01-29,2026-03-09,Oscar Andersen,+45 21 50 37 67,andersenfamilie@email.dk,Hovedgade 104,7021,Dysleksi,true,2026-03-09 08:00:00,2026-03-09 08:00:00
STU-851-00003,CLS-00223,851-SCH-002,851,171219-3930,171219-XXXX,Freja,Nielsen,F,2019-12-17,2026-03-09,Christian Nielsen,+45 92 90 43 77,nielsenfamilie@email.dk,Nørregade 200,4491,Autisme,true,2026-03-09 08:00:00,2026-03-09 08:00:00
STU-851-00004,CLS-00081,851-SCH-005,851,270719-7324,270719-XXXX,Freja,Kristensen,F,2019-07-27,2026-03-09,Frederik Kristensen,+45 90 45 98 76,kristensenfamilie@email.dk,Nørregade 188,3222,Autisme,true,2026-03-09 08:00:00,2026-03-09 08:00:00
STU-851-00005,CLS-00212,851-SCH-001,851,060418-4582,060418-XXXX,Sofie,Nielsen,F,2018-04-06,2026-03-09,Malthe Nielsen,+45 43 21 63 86,nielsenfamilie@email.dk,Søndergade 171,9030,Ingen,true,2026-03-09 08:00:00,2026-03-09 08:00:00
STU-851-00006,CLS-00073,851-SCH-002,851,231019-9205,231019-XXXX,Oscar,Sørensen,M,2019-10-23,2026-03-09,Malthe Sørensen,+45 74 98 29 43,sørensenfamilie@email.dk,Søndergade 22,8311,Autisme,true,2026-03-09 08:00:00,2026-03-09 08:00:00
STU-851-00007,CLS-00238,851-SCH-002,851,100718-2514,100718-XXXX,Laura,Rasmussen,F,2018-07-10,2026-03-09,Oscar Rasmussen,+45 79 39 89 53,rasmussenfamilie@email.dk,Nørregade 98,5032,Dysleksi,true,2026-03-09 08:00:00,2026-03-09 08:00:00
STU-851-00008,CLS-00120,851-SCH-004,851,150819-8631,150819-XXXX,Alfred,Thomsen,M,2019-08-15,2026-03-09,William Thomsen,+45 80 30 36 64,thomsenfamilie@email.dk,Parkvej 52,7362,ADHD,true,2026-03-09 08:00:00,2026-03-09 08:00:00
STU-851-00009,CLS-00128,851-SCH-005,851,250419-9260,250419-XXXX,Alma,Nielsen,F,2019-04-25,2026-03-09,Alfred Nielsen,+45 74 44 81 73,nielsenfamilie@email.dk,Møllevej 22,5074,Dysleksi,true,2026-03-09 08:00:00,2026-03-09 08:00:00
STU-851-00010,CLS-00095,851-SCH-002,851,140319-5452,140319-XXXX,Victoria,Kristensen,F,2019-03-14,2026-03-09,William Kristensen,+45 21 58 11 24,kristensenfamilie@email.dk,Skovvej 93,3798,Ingen,true,2026-03-09 08:00:00,2026-03-09 08:00:00
STU-851-00011,CLS-00160,851-SCH-001,851,250619-4788,250619-XXXX,Sofia,Petersen,F,2019-06-25,2026-03-09,Sebastian Petersen,+45 94 76 26 89,petersenfamilie@email.dk,Parkvej 111,7924,Dysleksi,true,2026-03-09 08:00:00,2026-03-09 08:00:00
STU-851-00012,CLS-00216,851-SCH-004,851,100119-8331,100119-XXXX,Alfred,Jensen,M,2019-01-10,2026-03-09,Oliver Jensen,+45 88 10 29 30,jensenfamilie@email.dk,Hovedgade 130,4284,Ingen,true,2026-03-09 08:00:00,2026-03-09 08:00:00
