teacher_id,school_id,municipality_code,cpr_number,cpr_masked,first_name,last_name,gender,birth_date,email,phone,hire_date,subjects,salary_band,is_active,created_at,updated_at
TCH-851-00001,851-SCH-002,851,100385-6065,100385-XXXX,Oscar,Nielsen,M,1985-03-10,oscar.nielsen@skole.dk,+45 79 39 26 81,2026-03-09,"Billedkunst,Dansk,Historie",A,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-851-00002,851-SCH-004,851,220589-3826,220589-XXXX,Emma,Hansen,F,1989-05-22,emma.hansen@skole.dk,+45 43 74 77 41,2026-03-09,"Idræt,Engelsk",C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-851-00003,851-SCH-005,851,190778-4839,190778-XXXX,Mikkel,Sørensen,M,1978-07-19,mikkel.sørensen@skole.dk,+45 45 45 72 24,2026-03-09,Historie,C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-851-00004,851-SCH-002,851,091170-1902,091170-XXXX,Isabella,Jensen,F,1970-11-09,isabella.jensen@skole.dk,+45 74 20 83 23,2026-03-09,Biologi,C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-851-00005,851-SCH-004,851,260890-5504,260890-XXXX,Karla,Sørensen,F,1990-08-26,karla.sørensen@skole.dk,+45 76 97 37 67,2026-03-09,Historie,B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-851-00006,851-SCH-001,851,210889-2311,210889-XXXX,Mikkel,Christensen,M,1989-08-21,mikkel.christensen@skole.dk,+45 49 62 50 80,2026-03-09,"Fysik,Musik,Biologi",B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-851-00007,851-SCH-001,851,180274-3464,180274-XXXX,Clara,Nielsen,F,1974-02-18,clara.nielsen@skole.dk,+45 37 32 84 40,2026-03-09,"Historie,Billedkunst,Dansk",C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-851-00008,851-SCH-005,851,060898-3783,060898-XXXX,Malthe,Thomsen,M,1998-08-06,malthe.thomsen@skole.dk,+45 81 22 48 49,2026-03-09,"Dansk,Idræt,Kemi",A,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-851-00009,851-SCH-004,851,061096-3855,061096-XXXX,Alfred,Jensen,M,1996-10-06,alfred.jensen@skole.dk,+45 98 82 86 72,2026-03-09,"Billedkunst,Dansk,Matematik",B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-851-00010,851-SCH-003,851,140579-7131,140579-XXXX,Oscar,Larsen,M,1979-05-14,oscar.larsen@skole.dk,+45 39 73 11 21,2026-03-09,"Biologi,Billedkunst,Dansk",B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-851-00011,851-SCH-004,851,041292-3579,041292-XXXX,Sebastian,Larsen,M,1992-12-04,sebastian.larsen@skole.dk,+45 90 28 60 62,2026-03-09,"Historie,Biologi",A,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-851-00012,851-SCH-001,851,220383-5150,220383-XXXX,Ida,Sørensen,F,1983-03-22,ida.sørensen@skole.dk,+45 92 18 81 31,2026-03-09,"Musik,Kemi,Billedkunst",B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-851-00013,851-SCH-002,851,290587-5285,290587-XXXX,Lucas,Madsen,M,1987-05-29,lucas.madsen@skole.dk,+45 60 97 77 89,2026-03-09,Musik,B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-851-00014,851-SCH-003,851,010592-1047,010592-XXXX,Emil,Petersen,M,1992-05-01,emil.petersen@skole.dk,+45 68 70 64 51,2026-03-09,Kemi,C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-851-00015,851-SCH-002,851,180377-9899,180377-XXXX,Malthe,Nielsen,M,1977-03-18,malthe.nielsen@skole.dk,+45 98 55 77 85,2026-03-09,"Fysik,Idræt",C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-851-00016,851-SCH-003,851,110388-3225,110388-XXXX,Sebastian,Larsen,M,1988-03-11,sebastian.larsen@skole.dk,+45 90 48 22 15,2026-03-09,"Historie,Biologi,Kemi",A,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-851-00017,851-SCH-005,851,160595-4225,160595-XXXX,Rasmus,Rasmussen,M,1995-05-16,rasmus.rasmussen@skole.dk,+45 98 34 72 29,2026-03-09,"Geografi,Engelsk",C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-851-00018,851-SCH-005,851,270592-6396,270592-XXXX,Anna,Nielsen,F,1992-05-27,anna.nielsen@skole.dk,+45 54 90 78 41,2026-03-09,"Fysik,Dansk,Billedkunst",C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-851-00019,851-SCH-003,851,140473-9775,140473-XXXX,Mikkel,Hansen,M,1973-04-14,mikkel.hansen@skole.dk,+45 72 90 53 77,2026-03-09,"Fysik,Billedkunst,Engelsk",C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-851-00020,851-SCH-002,851,301090-2088,301090-XXXX,Victoria,Andersen,F,1990-10-30,victoria.andersen@skole.dk,+45 31 50 84 39,2026-03-09,Fysik,B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-851-00021,851-SCH-001,851,021176-8272,021176-XXXX,Clara,Thomsen,F,1976-11-02,clara.thomsen@skole.dk,+45 35 51 83 87,2026-03-09,"Geografi,Musik",C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-851-00022,851-SCH-005,851,240984-6137,240984-XXXX,Malthe,Petersen,M,1984-09-24,malthe.petersen@skole.dk,+45 68 97 50 47,2026-03-09,Biologi,A,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-851-00023,851-SCH-003,851,211172-2644,211172-XXXX,Alma,Jørgensen,F,1972-11-21,alma.jørgensen@skole.dk,+45 98 88 47 19,2026-03-09,"Dansk,Geografi,Fysik",C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-851-00024,851-SCH-001,851,290196-8790,290196-XXXX,Lærke,Rasmussen,F,1996-01-29,lærke.rasmussen@skole.dk,+45 83 57 22 43,2026-03-09,Geografi,A,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-851-00025,851-SCH-002,851,260493-1133,260493-XXXX,William,Rasmussen,M,1993-04-26,william.rasmussen@skole.dk,+45 75 88 68 73,2026-03-09,"Musik,Biologi",B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-851-00026,851-SCH-003,851,050892-3683,050892-XXXX,Frederik,Olsen,M,1992-08-05,frederik.olsen@skole.dk,+45 56 56 95 83,2026-03-09,"Fysik,Dansk,Kemi",C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-851-00027,851-SCH-001,851,121186-9234,121186-XXXX,Victoria,Larsen,F,1986-11-12,victoria.larsen@skole.dk,+45 38 56 51 53,2026-03-09,"Idræt,Biologi",A,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-851-00028,851-SCH-001,851,201077-3144,201077-XXXX,Mathilde,Larsen,F,1977-10-20,mathilde.larsen@skole.dk,+45 94 86 66 95,2026-03-09,"Billedkunst,Kemi",C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-851-00029,851-SCH-002,851,230294-1782,230294-XXXX,Ida,Sørensen,F,1994-02-23,ida.sørensen@skole.dk,+45 57 83 33 95,2026-03-09,"Biologi,Billedkunst",A,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-851-00030,851-SCH-005,851,240890-7455,240890-XXXX,Magnus,Kristensen,M,1990-08-24,magnus.kristensen@skole.dk,+45 48 58 50 54,2026-03-09,Matematik,A,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-851-00031,851-SCH-003,851,170493-3946,170493-XXXX,Isabella,Hansen,F,1993-04-17,isabella.hansen@skole.dk,+45 40 35 34 53,2026-03-09,Historie,A,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-851-00032,851-SCH-005,851,160890-1772,160890-XXXX,Alma,Olsen,F,1990-08-16,alma.olsen@skole.dk,+45 87 26 98 39,2026-03-09,Engelsk,A,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-851-00033,851-SCH-001,851,141196-3648,141196-XXXX,Mathilde,Jørgensen,F,1996-11-14,mathilde.jørgensen@skole.dk,+45 44 86 33 54,2026-03-09,"Dansk,Fysik,Geografi",C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-851-00034,851-SCH-005,851,191288-5912,191288-XXXX,Isabella,Petersen,F,1988-12-19,isabella.petersen@skole.dk,+45 57 73 38 71,2026-03-09,"Fysik,Matematik",C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-851-00035,851-SCH-005,851,070384-1368,070384-XXXX,Victoria,Jensen,F,1984-03-07,victoria.jensen@skole.dk,+45 38 22 99 33,2026-03-09,"Geografi,Biologi",C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-851-00036,851-SCH-003,851,051171-2683,051171-XXXX,Lucas,Olsen,M,1971-11-05,lucas.olsen@skole.dk,+45 89 86 90 30,2026-03-09,Fysik,A,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-851-00037,851-SCH-005,851,241198-7318,241198-XXXX,Isabella,Olsen,F,1998-11-24,isabella.olsen@skole.dk,+45 75 18 68 79,2026-03-09,"Idræt,Fysik,Billedkunst",A,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-851-00038,851-SCH-001,851,231177-3251,231177-XXXX,Rasmus,Thomsen,M,1977-11-23,rasmus.thomsen@skole.dk,+45 61 63 68 75,2026-03-09,Engelsk,B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-851-00039,851-SCH-002,851,120988-8606,120988-XXXX,Laura,Jensen,F,1988-09-12,laura.jensen@skole.dk,+45 78 53 77 51,2026-03-09,Engelsk,B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-851-00040,851-SCH-002,851,160476-6596,160476-XXXX,Clara,Petersen,F,1976-04-16,clara.petersen@skole.dk,+45 79 95 63 28,2026-03-09,"Dansk,Biologi,Fysik",B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-851-00041,851-SCH-003,851,240170-7517,240170-XXXX,Oscar,Nielsen,M,1970-01-24,oscar.nielsen@skole.dk,+45 88 41 39 59,2026-03-09,Idræt,B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-851-00042,851-SCH-004,851,271279-4022,271279-XXXX,Isabella,Hansen,F,1979-12-27,isabella.hansen@skole.dk,+45 64 30 77 97,2026-03-09,Kemi,A,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-851-00043,851-SCH-003,851,200194-3502,200194-XXXX,Freja,Pedersen,F,1994-01-20,freja.pedersen@skole.dk,+45 36 64 11 52,2026-03-09,"Engelsk,Biologi",B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
