teacher_id,school_id,municipality_code,cpr_number,cpr_masked,first_name,last_name,gender,birth_date,email,phone,hire_date,subjects,salary_band,is_active,created_at,updated_at
TCH-751-00001,751-SCH-001,751,050192-3459,050192-XXXX,Malthe,Madsen,M,1992-01-05,malthe.madsen@skole.dk,+45 63 50 38 25,2026-03-09,"Billedkunst,Biologi,Idræt",A,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-751-00002,751-SCH-007,751,151170-2068,151170-XXXX,Mathilde,Kristensen,F,1970-11-15,mathilde.kristensen@skole.dk,+45 51 79 38 46,2026-03-09,"Geografi,Matematik",C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-751-00003,751-SCH-001,751,141278-2499,141278-XXXX,Sebastian,Larsen,M,1978-12-14,sebastian.larsen@skole.dk,+45 53 56 49 23,2026-03-09,"Matematik,Billedkunst,Kemi",B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-751-00004,751-SCH-004,751,190274-1755,190274-XXXX,Christian,Nielsen,M,1974-02-19,christian.nielsen@skole.dk,+45 92 59 48 43,2026-03-09,"Engelsk,Musik",B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-751-00005,751-SCH-007,751,090790-6642,090790-XXXX,Mathilde,Madsen,F,1990-07-09,mathilde.madsen@skole.dk,+45 59 19 43 21,2026-03-09,"Matematik,Biologi,Idræt",A,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-751-00006,751-SCH-006,751,171271-4130,171271-XXXX,Emma,Petersen,F,1971-12-17,emma.petersen@skole.dk,+45 79 79 94 25,2026-03-09,"Engelsk,Fysik",B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-751-00007,751-SCH-003,751,010390-5935,010390-XXXX,Noah,Petersen,M,1990-03-01,noah.petersen@skole.dk,+45 78 27 29 34,2026-03-09,"Matematik,Musik,Billedkunst",A,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-751-00008,751-SCH-003,751,160272-7573,160272-XXXX,Christian,Larsen,M,1972-02-16,christian.larsen@skole.dk,+45 65 45 60 58,2026-03-09,Historie,C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-751-00009,751-SCH-002,751,121080-6642,121080-XXXX,Sofie,Madsen,F,1980-10-12,sofie.madsen@skole.dk,+45 66 51 47 78,2026-03-09,"Engelsk,Historie",C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-751-00010,751-SCH-005,751,140481-4768,140481-XXXX,Freja,Petersen,F,1981-04-14,freja.petersen@skole.dk,+45 90 69 56 35,2026-03-09,Musik,B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-751-00011,751-SCH-003,751,240974-4955,240974-XXXX,Victor,Olsen,M,1974-09-24,victor.olsen@skole.dk,+45 58 82 72 12,2026-03-09,"Idræt,Geografi,Engelsk",A,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-751-00012,751-SCH-007,751,040892-4769,040892-XXXX,Lucas,Kristensen,M,1992-08-04,lucas.kristensen@skole.dk,+45 92 49 41 55,2026-03-09,"Historie,Engelsk,Matematik",C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-751-00013,751-SCH-003,751,230875-6248,230875-XXXX,Clara,Christensen,F,1975-08-23,clara.christensen@skole.dk,+45 40 50 45 44,2026-03-09,"Kemi,Engelsk,Matematik",C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-751-00014,751-SCH-003,751,080885-5837,080885-XXXX,Noah,Jørgensen,M,1985-08-08,noah.jørgensen@skole.dk,+45 82 81 34 81,2026-03-09,"Kemi,Historie,Musik",B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-751-00015,751-SCH-005,751,310170-9102,310170-XXXX,Karla,Christensen,F,1970-01-31,karla.christensen@skole.dk,+45 36 67 26 29,2026-03-09,"Fysik,Biologi",C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-751-00016,751-SCH-004,751,030674-4660,030674-XXXX,Ella,Rasmussen,F,1974-06-03,ella.rasmussen@skole.dk,+45 32 94 83 99,2026-03-09,"Matematik,Biologi,Musik",C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
