teacher_id,school_id,municipality_code,cpr_number,cpr_masked,first_name,last_name,gender,birth_date,email,phone,hire_date,subjects,salary_band,is_active,created_at,updated_at
TCH-101-00001,101-SCH-002,101,270581-3902,270581-XXXX,Mathilde,Sørensen,F,1981-05-27,mathilde.sørensen@skole.dk,+45 73 15 41 31,2026-03-09,"Kemi,Musik,Geografi",C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00002,101-SCH-001,101,270893-1366,270893-XXXX,Ella,Pedersen,F,1993-08-27,ella.pedersen@skole.dk,+45 95 90 62 85,2026-03-09,"Musik,Historie",A,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00003,101-SCH-003,101,240895-3914,240895-XXXX,Laura,Rasmussen,F,1995-08-24,laura.rasmussen@skole.dk,+45 79 79 42 98,2026-03-09,Idræt,C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00004,101-SCH-001,101,120871-5074,120871-XXXX,Lærke,Larsen,F,1971-08-12,lærke.larsen@skole.dk,+45 41 73 84 86,2026-03-09,"Billedkunst,Idræt,Fysik",B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00005,101-SCH-002,101,180775-6308,180775-XXXX,Mathilde,Nielsen,F,1975-07-18,mathilde.nielsen@skole.dk,+45 72 19 83 60,2026-03-09,Engelsk,B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00006,101-SCH-007,101,130179-9886,130179-XXXX,Isabella,Nielsen,F,1979-01-13,isabella.nielsen@skole.dk,+45 71 36 18 88,2026-03-09,Billedkunst,B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00007,101-SCH-006,101,231082-1507,231082-XXXX,Malthe,Madsen,M,1982-10-23,malthe.madsen@skole.dk,+45 78 86 74 44,2026-03-09,Geografi,B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00008,101-SCH-007,101,041085-5117,041085-XXXX,Magnus,Andersen,M,1985-10-04,magnus.andersen@skole.dk,+45 77 30 29 76,2026-03-09,"Geografi,Kemi,Biologi",C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00009,101-SCH-002,101,170982-8683,170982-XXXX,Oscar,Larsen,M,1982-09-17,oscar.larsen@skole.dk,+45 59 73 38 95,2026-03-09,Engelsk,A,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00010,101-SCH-004,101,140497-6609,140497-XXXX,William,Hansen,M,1997-04-14,william.hansen@skole.dk,+45 92 56 30 72,2026-03-09,"Fysik,Dansk,Geografi",C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00011,101-SCH-003,101,231281-2802,231281-XXXX,Emma,Petersen,F,1981-12-23,emma.petersen@skole.dk,+45 86 68 77 45,2026-03-09,Biologi,A,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00012,101-SCH-004,101,281278-3290,281278-XXXX,Isabella,Pedersen,F,1978-12-28,isabella.pedersen@skole.dk,+45 65 80 10 23,2026-03-09,Geografi,C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00013,101-SCH-003,101,050899-3869,050899-XXXX,Sebastian,Rasmussen,M,1999-08-05,sebastian.rasmussen@skole.dk,+45 67 87 85 79,2026-03-09,"Engelsk,Musik,Biologi",A,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00014,101-SCH-003,101,081294-7377,081294-XXXX,Christian,Madsen,M,1994-12-08,christian.madsen@skole.dk,+45 39 91 29 98,2026-03-09,"Biologi,Fysik,Engelsk",B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00015,101-SCH-007,101,141297-9226,141297-XXXX,Anna,Jensen,F,1997-12-14,anna.jensen@skole.dk,+45 40 38 48 28,2026-03-09,Dansk,B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00016,101-SCH-007,101,260288-4730,260288-XXXX,Isabella,Petersen,F,1988-02-26,isabella.petersen@skole.dk,+45 47 57 16 43,2026-03-09,"Geografi,Historie",B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00017,101-SCH-004,101,291076-5566,291076-XXXX,Mathilde,Olsen,F,1976-10-29,mathilde.olsen@skole.dk,+45 73 78 83 40,2026-03-09,"Historie,Billedkunst",C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00018,101-SCH-001,101,131072-2151,131072-XXXX,Lucas,Thomsen,M,1972-10-13,lucas.thomsen@skole.dk,+45 86 58 77 46,2026-03-09,"Kemi,Historie",C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00019,101-SCH-007,101,190999-8897,190999-XXXX,Mikkel,Olsen,M,1999-09-19,mikkel.olsen@skole.dk,+45 57 41 44 80,2026-03-09,"Musik,Kemi",B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00020,101-SCH-007,101,070696-2646,070696-XXXX,Laura,Petersen,F,1996-06-07,laura.petersen@skole.dk,+45 65 78 35 55,2026-03-09,Matematik,A,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00021,101-SCH-005,101,040772-8706,040772-XXXX,Sofia,Andersen,F,1972-07-04,sofia.andersen@skole.dk,+45 95 66 90 53,2026-03-09,"Fysik,Musik",C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00022,101-SCH-005,101,261181-2990,261181-XXXX,Alma,Pedersen,F,1981-11-26,alma.pedersen@skole.dk,+45 32 41 43 84,2026-03-09,"Biologi,Musik",C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00023,101-SCH-007,101,190498-3054,190498-XXXX,Sofia,Sørensen,F,1998-04-19,sofia.sørensen@skole.dk,+45 85 50 66 83,2026-03-09,"Matematik,Engelsk",A,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00024,101-SCH-001,101,230973-6712,230973-XXXX,Emma,Jørgensen,F,1973-09-23,emma.jørgensen@skole.dk,+45 88 22 72 39,2026-03-09,"Billedkunst,Fysik",B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00025,101-SCH-006,101,100782-6024,100782-XXXX,Clara,Nielsen,F,1982-07-10,clara.nielsen@skole.dk,+45 59 76 20 14,2026-03-09,"Matematik,Fysik,Geografi",B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00026,101-SCH-004,101,140979-6011,140979-XXXX,Noah,Pedersen,M,1979-09-14,noah.pedersen@skole.dk,+45 96 92 15 52,2026-03-09,"Idræt,Matematik",B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00027,101-SCH-004,101,070584-9622,070584-XXXX,Mathilde,Thomsen,F,1984-05-07,mathilde.thomsen@skole.dk,+45 73 28 36 66,2026-03-09,"Fysik,Engelsk,Dansk",C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00028,101-SCH-004,101,070275-4721,070275-XXXX,Oliver,Jensen,M,1975-02-07,oliver.jensen@skole.dk,+45 36 42 49 92,2026-03-09,Matematik,A,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00029,101-SCH-006,101,120782-2489,120782-XXXX,Mikkel,Larsen,M,1982-07-12,mikkel.larsen@skole.dk,+45 91 25 32 49,2026-03-09,Engelsk,B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00030,101-SCH-001,101,050694-9605,050694-XXXX,Frederik,Jørgensen,M,1994-06-05,frederik.jørgensen@skole.dk,+45 88 63 71 20,2026-03-09,Dansk,C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00031,101-SCH-003,101,290590-4396,290590-XXXX,Alma,Sørensen,F,1990-05-29,alma.sørensen@skole.dk,+45 61 12 97 41,2026-03-09,Geografi,C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00032,101-SCH-002,101,080695-1678,080695-XXXX,Laura,Andersen,F,1995-06-08,laura.andersen@skole.dk,+45 70 83 28 77,2026-03-09,"Matematik,Musik",C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00033,101-SCH-006,101,270580-7579,270580-XXXX,Sebastian,Jørgensen,M,1980-05-27,sebastian.jørgensen@skole.dk,+45 24 30 12 20,2026-03-09,Idræt,B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00034,101-SCH-007,101,051195-1404,051195-XXXX,Lærke,Hansen,F,1995-11-05,lærke.hansen@skole.dk,+45 46 76 26 95,2026-03-09,"Billedkunst,Biologi,Dansk",B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00035,101-SCH-006,101,311091-3012,311091-XXXX,Isabella,Larsen,F,1991-10-31,isabella.larsen@skole.dk,+45 97 18 26 94,2026-03-09,Geografi,B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00036,101-SCH-002,101,261077-2257,261077-XXXX,Frederik,Olsen,M,1977-10-26,frederik.olsen@skole.dk,+45 87 55 26 72,2026-03-09,Biologi,B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00037,101-SCH-007,101,020678-1941,020678-XXXX,Emil,Christensen,M,1978-06-02,emil.christensen@skole.dk,+45 84 25 78 86,2026-03-09,Engelsk,C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00038,101-SCH-006,101,010777-9863,010777-XXXX,William,Rasmussen,M,1977-07-01,william.rasmussen@skole.dk,+45 58 22 37 77,2026-03-09,Musik,B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00039,101-SCH-007,101,190296-6520,190296-XXXX,Sofia,Olsen,F,1996-02-19,sofia.olsen@skole.dk,+45 62 65 95 95,2026-03-09,Idræt,C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00040,101-SCH-001,101,190387-3970,190387-XXXX,Freja,Sørensen,F,1987-03-19,freja.sørensen@skole.dk,+45 25 20 68 53,2026-03-09,"Kemi,Musik",A,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00041,101-SCH-001,101,110194-1755,110194-XXXX,Noah,Pedersen,M,1994-01-11,noah.pedersen@skole.dk,+45 38 50 55 13,2026-03-09,"Kemi,Historie,Engelsk",A,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00042,101-SCH-003,101,311081-9243,311081-XXXX,Christian,Thomsen,M,1981-10-31,christian.thomsen@skole.dk,+45 60 75 27 65,2026-03-09,"Idræt,Matematik,Geografi",C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00043,101-SCH-006,101,130795-5143,130795-XXXX,Mikkel,Jensen,M,1995-07-13,mikkel.jensen@skole.dk,+45 86 80 36 82,2026-03-09,"Engelsk,Billedkunst",B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00044,101-SCH-003,101,040987-6191,040987-XXXX,Oliver,Sørensen,M,1987-09-04,oliver.sørensen@skole.dk,+45 69 12 23 71,2026-03-09,"Engelsk,Biologi,Billedkunst",C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00045,101-SCH-006,101,110478-6376,110478-XXXX,Ida,Olsen,F,1978-04-11,ida.olsen@skole.dk,+45 56 43 53 36,2026-03-09,"Historie,Engelsk,Geografi",C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00046,101-SCH-007,101,200597-2157,200597-XXXX,Lucas,Sørensen,M,1997-05-20,lucas.sørensen@skole.dk,+45 24 77 27 17,2026-03-09,"Matematik,Biologi",C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00047,101-SCH-005,101,180290-2477,180290-XXXX,Malthe,Andersen,M,1990-02-18,malthe.andersen@skole.dk,+45 74 22 22 41,2026-03-09,"Engelsk,Historie",C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00048,101-SCH-001,101,140873-8994,140873-XXXX,Alma,Rasmussen,F,1973-08-14,alma.rasmussen@skole.dk,+45 82 12 59 35,2026-03-09,Dansk,C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00049,101-SCH-001,101,270196-4690,270196-XXXX,Sofie,Hansen,F,1996-01-27,sofie.hansen@skole.dk,+45 55 73 22 92,2026-03-09,Historie,C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-101-00050,101-SCH-002,101,150798-2105,150798-XXXX,Oliver,Andersen,M,1998-07-15,oliver.andersen@skole.dk,+45 66 13 69 27,2026-03-09,"Kemi,Biologi",B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
