student_id,class_id,school_id,municipality_code,cpr_number,cpr_masked,first_name,last_name,gender,birth_date,enrollment_date,guardian_name,guardian_phone,guardian_email,address,postal_code,special_needs,is_active,created_at,updated_at
STU-005301,CLS-00028,101-SCH-001,101,040418-9745,040418-XXXX,Oliver,Andersen,M,2018-04-04,2026-03-11,Noah Andersen,+45 48 73 65 23,andersenfamilie@email.dk,Parkvej 41,2951,Ingen,true,2026-03-11 08:00:00,2026-03-11 08:00:00
STU-005302,CLS-00145,101-SCH-007,101,220619-5476,220619-XXXX,Sofia,Rasmussen,F,2019-06-22,2026-03-11,Victor Rasmussen,+45 98 16 24 84,rasmussenfamilie@email.dk,Strandvej 6,8089,Ingen,true,2026-03-11 08:00:00,2026-03-11 08:00:00
STU-005303,CLS-00239,101-SCH-003,101,160719-4542,160719-XXXX,Ella,Nielsen,F,2019-07-16,2026-03-11,Emil Nielsen,+45 82 62 72 53,nielsenfamilie@email.dk,Vestergade 79,8743,Dysleksi,true,2026-03-11 08:00:00,2026-03-11 08:00:00
STU-005304,CLS-00013,101-SCH-005,101,120818-1301,120818-XXXX,Emil,Larsen,M,2018-08-12,2026-03-11,Christian Larsen,+45 50 17 11 13,larsenfamilie@email.dk,Parkvej 34,9897,Dysleksi,true,2026-03-11 08:00:00,2026-03-11 08:00:00
STU-005305,CLS-00193,101-SCH-001,101,200318-3026,200318-XXXX,Ella,Hansen,F,2018-03-20,2026-03-11,Mikkel Hansen,+45 61 90 69 34,hansenfamilie@email.dk,Parkvej 184,4195,Dysleksi,true,2026-03-11 08:00:00,2026-03-11 08:00:00
STU-005306,CLS-00126,101-SCH-006,101,080618-4417,080618-XXXX,Rasmus,Sørensen,M,2018-06-08,2026-03-11,William Sørensen,+45 86 51 13 45,sørensenfamilie@email.dk,Søndergade 42,9839,Ingen,true,2026-03-11 08:00:00,2026-03-11 08:00:00
STU-005307,CLS-00070,101-SCH-007,101,031018-4518,031018-XXXX,Alma,Christensen,F,2018-10-03,2026-03-11,Alfred Christensen,+45 64 20 46 59,christensenfamilie@email.dk,Østergade 109,6479,Dysleksi,true,2026-03-11 08:00:00,2026-03-11 08:00:00
STU-005308,CLS-00142,101-SCH-001,101,250418-5783,250418-XXXX,Emil,Olsen,M,2018-04-25,2026-03-11,Oliver Olsen,+45 42 63 41 62,olsenfamilie@email.dk,Parkvej 127,5665,Ingen,true,2026-03-11 08:00:00,2026-03-11 08:00:00
STU-005309,CLS-00151,101-SCH-007,101,170518-6654,170518-XXXX,Laura,Thomsen,F,2018-05-17,2026-03-11,Sebastian Thomsen,+45 76 36 85 69,thomsenfamilie@email.dk,Søndergade 81,1370,Autisme,true,2026-03-11 08:00:00,2026-03-11 08:00:00
STU-005310,CLS-00225,101-SCH-006,101,030818-3265,030818-XXXX,Magnus,Pedersen,M,2018-08-03,2026-03-11,Oscar Pedersen,+45 87 84 96 93,pedersenfamilie@email.dk,Skovvej 146,6465,ADHD,true,2026-03-11 08:00:00,2026-03-11 08:00:00
