teacher_id,school_id,municipality_code,cpr_number,cpr_masked,first_name,last_name,gender,birth_date,email,phone,hire_date,subjects,salary_band,is_active,created_at,updated_at
TCH-00376,101-SCH-006,101,200185-1551,200185-XXXX,Mikkel,Olsen,M,1985-01-20,mikkel.olsen@skole.dk,+45 23 69 29 10,2026-03-11,"Fysik,Biologi,Historie",A,true,2026-03-11 08:00:00,2026-03-11 08:00:00
TCH-00377,101-SCH-003,101,130578-1844,130578-XXXX,Sofia,Jørgensen,F,1978-05-13,sofia.jørgensen@skole.dk,+45 81 28 21 57,2026-03-11,"Matematik,Dansk",C,true,2026-03-11 08:00:00,2026-03-11 08:00:00
TCH-00378,751-SCH-005,751,210882-1813,210882-XXXX,Christian,Olsen,M,1982-08-21,christian.olsen@skole.dk,+45 64 18 54 71,2026-03-11,"Fysik,Billedkunst",B,true,2026-03-11 08:00:00,2026-03-11 08:00:00
TCH-00379,751-SCH-007,751,180376-6221,180376-XXXX,Alfred,Sørensen,M,1976-03-18,alfred.sørensen@skole.dk,+45 88 78 70 18,2026-03-11,Billedkunst,A,true,2026-03-11 08:00:00,2026-03-11 08:00:00
TCH-00380,461-SCH-007,461,280179-7954,280179-XXXX,Ida,Rasmussen,F,1979-01-28,ida.rasmussen@skole.dk,+45 25 51 51 71,2026-03-11,Idræt,B,true,2026-03-11 08:00:00,2026-03-11 08:00:00
TCH-00381,461-SCH-007,461,261285-3536,261285-XXXX,Sofia,Madsen,F,1985-12-26,sofia.madsen@skole.dk,+45 93 60 89 45,2026-03-11,"Matematik,Dansk",A,true,2026-03-11 08:00:00,2026-03-11 08:00:00
TCH-00382,851-SCH-001,851,191096-5688,191096-XXXX,Lærke,Rasmussen,F,1996-10-19,lærke.rasmussen@skole.dk,+45 89 68 18 77,2026-03-11,Idræt,C,true,2026-03-11 08:00:00,2026-03-11 08:00:00
TCH-00383,851-SCH-001,851,230775-3654,230775-XXXX,Ida,Hansen,F,1975-07-23,ida.hansen@skole.dk,+45 20 79 36 13,2026-03-11,"Fysik,Dansk,Historie",B,true,2026-03-11 08:00:00,2026-03-11 08:00:00
TCH-00384,561-SCH-001,561,070770-8729,070770-XXXX,Mikkel,Jørgensen,M,1970-07-07,mikkel.jørgensen@skole.dk,+45 40 98 33 83,2026-03-11,Engelsk,B,true,2026-03-11 08:00:00,2026-03-11 08:00:00
TCH-00385,561-SCH-002,561,300875-9798,300875-XXXX,Sofie,Nielsen,F,1975-08-30,sofie.nielsen@skole.dk,+45 24 20 50 90,2026-03-11,"Biologi,Dansk,Historie",C,true,2026-03-11 08:00:00,2026-03-11 08:00:00
