teacher_id,school_id,municipality_code,cpr_number,cpr_masked,first_name,last_name,gender,birth_date,email,phone,hire_date,subjects,salary_band,is_active,created_at,updated_at
TCH-561-00001,561-SCH-001,561,121277-9436,121277-XXXX,Lærke,Petersen,F,1977-12-12,lærke.petersen@skole.dk,+45 94 78 20 92,2026-03-09,Dansk,B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-561-00002,561-SCH-004,561,010489-5458,010489-XXXX,Isabella,Jensen,F,1989-04-01,isabella.jensen@skole.dk,+45 30 82 74 21,2026-03-09,Musik,B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-561-00003,561-SCH-004,561,310190-2210,310190-XXXX,Ella,Olsen,F,1990-01-31,ella.olsen@skole.dk,+45 73 82 86 65,2026-03-09,"Dansk,Biologi,Fysik",C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-561-00004,561-SCH-007,561,081175-3129,081175-XXXX,Alfred,Olsen,M,1975-11-08,alfred.olsen@skole.dk,+45 95 41 43 62,2026-03-09,"Dansk,Fysik",B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-561-00005,561-SCH-007,561,200778-5144,200778-XXXX,Alma,Jensen,F,1978-07-20,alma.jensen@skole.dk,+45 35 56 46 97,2026-03-09,Matematik,B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-561-00006,561-SCH-005,561,050978-7375,050978-XXXX,Frederik,Nielsen,M,1978-09-05,frederik.nielsen@skole.dk,+45 42 55 43 44,2026-03-09,"Biologi,Fysik,Dansk",A,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-561-00007,561-SCH-003,561,130397-3039,130397-XXXX,Oscar,Kristensen,M,1997-03-13,oscar.kristensen@skole.dk,+45 50 96 74 57,2026-03-09,Musik,A,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-561-00008,561-SCH-002,561,300374-8977,300374-XXXX,Lucas,Kristensen,M,1974-03-30,lucas.kristensen@skole.dk,+45 54 55 35 32,2026-03-09,"Biologi,Matematik,Musik",C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-561-00009,561-SCH-009,561,010191-4820,010191-XXXX,Isabella,Nielsen,F,1991-01-01,isabella.nielsen@skole.dk,+45 97 67 12 92,2026-03-09,"Dansk,Kemi,Billedkunst",C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-561-00010,561-SCH-004,561,310372-7870,310372-XXXX,Freja,Madsen,F,1972-03-31,freja.madsen@skole.dk,+45 99 19 85 88,2026-03-09,Historie,A,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-561-00011,561-SCH-003,561,271073-5617,271073-XXXX,Christian,Rasmussen,M,1973-10-27,christian.rasmussen@skole.dk,+45 39 79 89 51,2026-03-09,"Engelsk,Biologi,Geografi",C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
