teacher_id,school_id,municipality_code,cpr_number,cpr_masked,first_name,last_name,gender,birth_date,email,phone,hire_date,subjects,salary_band,is_active,created_at,updated_at
TCH-461-00001,461-SCH-002,461,140996-6586,140996-XXXX,Ida,Sørensen,F,1996-09-14,ida.sørensen@skole.dk,+45 25 39 80 47,2026-03-09,"Geografi,Dansk,Fysik",A,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-461-00002,461-SCH-001,461,140172-1369,140172-XXXX,Malthe,Olsen,M,1972-01-14,malthe.olsen@skole.dk,+45 28 61 32 30,2026-03-09,Idræt,A,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-461-00003,461-SCH-004,461,020598-4169,020598-XXXX,Oliver,Andersen,M,1998-05-02,oliver.andersen@skole.dk,+45 59 74 43 92,2026-03-09,"Biologi,Billedkunst",A,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-461-00004,461-SCH-002,461,300196-6227,300196-XXXX,Malthe,Nielsen,M,1996-01-30,malthe.nielsen@skole.dk,+45 25 59 63 44,2026-03-09,Musik,C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-461-00005,461-SCH-001,461,201094-7396,201094-XXXX,Anna,Kristensen,F,1994-10-20,anna.kristensen@skole.dk,+45 66 29 54 14,2026-03-09,Fysik,B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-461-00006,461-SCH-004,461,050773-1602,050773-XXXX,Victoria,Pedersen,F,1973-07-05,victoria.pedersen@skole.dk,+45 33 12 14 40,2026-03-09,"Kemi,Idræt",A,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-461-00007,461-SCH-006,461,070887-3369,070887-XXXX,Malthe,Olsen,M,1987-08-07,malthe.olsen@skole.dk,+45 97 60 61 68,2026-03-09,Idræt,B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-461-00008,461-SCH-002,461,240283-7988,240283-XXXX,Alma,Petersen,F,1983-02-24,alma.petersen@skole.dk,+45 77 70 64 99,2026-03-09,"Billedkunst,Geografi,Fysik",C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-461-00009,461-SCH-007,461,210776-4421,210776-XXXX,Rasmus,Madsen,M,1976-07-21,rasmus.madsen@skole.dk,+45 89 91 94 31,2026-03-09,"Matematik,Engelsk",B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-461-00010,461-SCH-001,461,200271-5273,200271-XXXX,Magnus,Andersen,M,1971-02-20,magnus.andersen@skole.dk,+45 83 29 23 44,2026-03-09,"Engelsk,Kemi,Matematik",B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-461-00011,461-SCH-006,461,111179-4209,111179-XXXX,Rasmus,Pedersen,M,1979-11-11,rasmus.pedersen@skole.dk,+45 67 48 70 87,2026-03-09,Engelsk,C,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-461-00012,461-SCH-004,461,170376-7833,170376-XXXX,Rasmus,Jørgensen,M,1976-03-17,rasmus.jørgensen@skole.dk,+45 85 81 38 51,2026-03-09,"Engelsk,Matematik",B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-461-00013,461-SCH-006,461,171085-1845,171085-XXXX,Noah,Hansen,M,1985-10-17,noah.hansen@skole.dk,+45 38 45 97 61,2026-03-09,"Idræt,Engelsk,Dansk",B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-461-00014,461-SCH-005,461,200583-1317,200583-XXXX,Christian,Christensen,M,1983-05-20,christian.christensen@skole.dk,+45 52 31 91 38,2026-03-09,"Geografi,Dansk,Matematik",B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
TCH-461-00015,461-SCH-004,461,071177-4613,071177-XXXX,Rasmus,Andersen,M,1977-11-07,rasmus.andersen@skole.dk,+45 20 84 39 39,2026-03-09,Billedkunst,B,true,2026-03-09 08:00:00,2026-03-09 08:00:00
